,First Name,Last Name,NBA MPG,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
2,Isaac,Okoro,,,,,
3,Cassius,Stanley,,,,,
4,Immanuel,Quickley,,,,,
5,Aaron,Nesmith,,,,,
6,Devin,Vassell,,,,,
7,Saddiq,Bey,,,,,
8,Obi,Toppin,,,,,
9,Tyler,Bey,,,,,
10,Jordan,Nwora,,,,,
11,Anthony,Edwards,,,,,
12,Romeo,Langford,11.0,.039,-4.6,-0.2,+4.5
13,RJ,Barrett,30.4,-0.015,-4.3,-1.0,-6.1
14,Cam,Reddish,26.7,-0.011,-4.2,-0.9,+2.0
15,Jarrett,Culver,23.9,-0.004,-4.0,-0.8,+2.3
16,DeAndre,Hunter,32.0,.001,-4.7,-1.4,+4.7
17,Kevin,Porter Jr.,23.2,.011,-3.7,-0.5,-5.6
18,Talen,Horton-Tucker,0,0,0,0,0
19,Tyler,Herro,27.2,.033,-2.3,-0.1,-8.5
20,Keldon,Johnson,10.2,.119,-0.9,0.0,+12.8
21,Chuma,Okeke,0,0,0,0,0
22,Jalen,McDaniels,18.3,.078,-3.3,-0.1,+3.2
23,Caleb,Martin,17.6,.081,-1.0,0.1,+7.7
24,Cody,Martin,18.8,.052,-2.1,0.0,+6.1
25,Kevin,Knox,23.7,-0.017,-5.2,-2.7,-8.3
26,Melvin,Frazier,3.8,-0.060,-9.1,-0.2,-4.9
27,Jacob,Evans,10.5,-0.047,-7.4,-0.8,-7.2
28,Theo,Pinson,11.3,-0.045,-5.6,-0.5,-2.9
29,Troy,Brown,19.9,.059,-1.7,0.1,-0.6
30,Keenan,Evans,0,0,0,0,0
31,Zhaire,Smith,11.0,.011,-6.1,-0.1,+0.1
32,Milik,Yarbrough,0,0,0,0,0
33,Alize,Johnson,4.4,.047,-6.4,-0.1,+2.4
34,Mikal,Bridges,28.5,.080,-0.6,1.5,+5.7
35,Miles,Bridges,25.5,.059,-1.7,0.3,-5.9
36,Grayson,Allen,13.4,.039,-4.3,-0.5,-12.2
37,Jerome,Robinson,12.1,.006,-4.6,-0.7,-0.4
38,Gary,Trent,19.5,.113,-1.0,2.4,-5.5
39,Keita,Bates-Diop,16.9,.060,-1.9,0.0,-8.6
40,Rawle,Alkins,12.0,-0.042,-7.3,-0.2,+1.5
41,Josh,Okogie,24.3,.049,-2.7,-0.6,+0.6
42,Shake,Milton,16.9,.111,-1.2,0.2,-2.0
43,Devon,Hall,4.0,-0.064,-9.7,0.0,+50.5
44,Admiral,Schofield,10.9,.020,-5.3,-0.2,-2.2
45,Kevin,Hervey,2.7,-0.471,-19.9,-0.1,-20.6
46,Matisse,Thybulle,19.5,.084,0.1,0.6,-0.3
47,Allonzo,Trier,19.9,.039,-2.7,-0.3,+0.9
48,Vince,Edwards,8.0,-0.014,-6.4,0.0,-11.3
49,Sviatoslav,Mykhailiuk,17.4,.042,-2.7,-0.3,+3.9
50,Chandler,Hutchison,19.8,.041,-3.4,-0.5,-2.1
51,Kenrich,Williams,22.9,.052,-2.1,0.0,-2.6
52,Malik,Newman,0,0,0,0,0
53,Kevin,Huerter,29.1,.038,-2.0,0.0,+4.7
54,Josh,Reaves,0.5,-1.036,-39.5,0.0,-172.7
55,Lonnie,Walker,12.6,.027,-3.1,-0.3,-1.6
56,Gary,Clark,12.4,.082,-1.3,0.2,-3.1
57,Donte,DiVincenzo,20.6,.137,1.1,1.4,+5.2
58,Hamidou,Diallo,13.8,.038,-4.6,-0.8,-5.1
59,Sindarius,Thornwell,10.7,.034,-2.9,-0.3,-1.9
60,Josh,Hart,25.3,.083,-0.7,1.6,+0.1
61,Semi,Ojeleye,13.9,.065,-3.5,-1.0,-7.7
62,Dillon,Brooks,27.5,.023,-4.3,-2.6,+1.6
63,Kyle,Kuzma,30.1,.067,-1.5,0.6,-0.6
64,Jonathan,Isaac,26.0,.089,0.1,1.9,+1.3
65,Luke,Kennard,23.3,.088,-0.8,1.2,+2.7
66,Josh,Jackson,24.7,-0.021,-4.0,-2.2,-2.4
67,OG,Anunoby,23.2,.103,-0.5,1.8,-2.8
68,Jayson,Tatum,31.8,.127,1.5,6.2,+8.1
69,Sterling,Brown,15.8,.074,-2.1,-0.1,-6.4
70,Justin,Jackson,19.6,.061,-2.6,-0.6,-1.3
71,Denzel,Valentine,20.9,.048,-1.6,0.4,-0.5
72,Ben,Simmons,34.4,.159,4.0,11.2,+1.5
73,Buddy,Hield,27.8,.074,0.8,6.0,+1.7
74,Brandon,Ingram,32.2,.057,-1.4,1.1,-0.8
75,DeAndre,Bembry,19.4,.013,-2.8,-0.8,-0.5
76,Patrick,McCaw,17.2,.061,-2.8,-0.7,-11.8
77,Malik,Beasley,17.4,.080,-1.2,0.8,-1.0
78,Jaylen,Brown,26.1,.091,-1.2,1.4,-0.1
79,Malachi,Richardson,8.9,-0.009,-6.1,-0.7,-7.4
80,RJ,Hunter,8.8,.051,-2.0,0.0,-4.8
81,Sam,Dekker,15.5,.083,-1.4,0.5,+0.5
82,Justin,Anderson,13.1,.077,-1.2,0.6,-3.6
83,Josh,Richardson,30.7,.090,-0.2,4.2,+1.8
84,Stanley,Johnson,20.5,.025,-2.9,-1.5,-2.7
85,Justise,Winslow,28.4,.054,-1.8,0.3,+3.7
86,Rondae,Hollis-Jefferson,22.8,.090,-0.7,2.2,+0.9
87,Kelly,Oubre,24.1,.069,-1.9,0.2,-1.8
88,Rashad,Vaughn,12.0,-0.017,-4.7,-1.2,-4.0
89,Norman,Powell,18.6,.099,-0.3,2.3,-4.0
90,Devin,Booker,33.5,.068,-0.3,4.8,+1.9
