Season,Year,RSCI,First Name,Last Name,Conference,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,AST/TO%,OWS,DWS,WS,WS/40,WS/40 * BPM,OBPM,DBPM,BPM,FT%,3PT%,3PT Confidence,FG% on 2PT Jumpers,% 2PT Jumpers Assisted,Shooting%,FG% at Rim,% at Rim Assisted,Finishing%,Offensive Self Creation
2018-19,1,67,Talen,Horton-Tucker,Big 12,35,34,952,17.2,0.488,0.47,0.416,0.23,403,2.9,16.7,10.2,16.2,2.8,2.7,12.4,26.2,1.37,1,1.7,2.7,0.114,0.5244,1.5,3.1,4.6,62.5,30.8,12.8128,21.9,17.4,17.71,70.3,20.5,27.08,38.71
2018-19,1,40,Tyler,Herro,SEC,37,37,1207,19.4,0.58,0.536,0.419,0.231,479,1.6,13.9,8.2,15,2,1.1,11.8,21.4,1.52,3.3,2.1,5.4,0.181,1.6109,5.6,3.3,8.9,93.5,35.5,14.8745,46.9,21.7,41.77,65.5,42.1,18.37,60.59
2018-19,1,12,Keldon,Johnson,SEC,37,36,1137,18.5,0.558,0.521,0.316,0.416,466,5.5,16.5,11.3,10.4,1.5,0.6,11.8,22.7,1,2.9,2,4.9,0.171,1.1628,4.3,2.5,6.8,70.3,38.1,12.0396,41.8,42.4,22.95,59.6,38.2,17.84,32.71
2018-19,2,46,Chuma,Okeke,SEC,38,38,1105,24.5,0.597,0.577,0.419,0.265,470,10.7,16.8,13.7,12.5,3.6,5.5,14.7,20,1.11,3.3,2.3,5.5,0.2,2.68,6.7,6.7,13.4,72.2,38.7,16.2153,29.7,31.6,22.77,70.7,53.2,16.03,29.6
2017-18,2,159,Jalen,McDaniels,MWC,33,21,815,23.5,0.642,0.595,0.088,0.526,334,10.5,23.8,17.3,6.7,1.9,2.7,11.8,18.3,0.81,2.6,1.8,4.5,0.219,1.5987,3.4,3.9,7.3,78.8,21.1,1.8568,44,52.1,17.54,76,53.4,17.16,24.19
2017-18,4,57,Caleb,Martin,MWC,36,26,1199,23.1,0.59,0.555,0.506,0.365,622,3.3,14.6,9.1,14.9,2.1,1.9,9.6,26.7,1.51,3.8,1.7,5.5,0.183,1.2627,6.3,0.7,6.9,74.9,40.3,20.3918,34.7,36.6,26.67,65.6,40.2,19.01,41.04
2017-18,4,74,Cody,Martin,MWC,36,34,1284,22.1,0.569,0.537,0.136,0.392,568,5.9,13.6,9.9,24,2.6,4.5,14.1,20.3,2.32,3.5,2.1,5.6,0.175,1.54,4.1,4.7,8.8,70.1,29.4,3.9984,38.1,21.7,22.91,76.8,35.8,23.89,45.69
2017-18,1,10,Kevin,Knox,SEC,37,37,1198,17.1,0.557,0.511,0.379,0.372,519,3.3,14.5,9.3,8.7,1.5,1,14.1,24.7,0.62,2.3,1.7,4,0.133,0.6517,3.4,1.4,4.9,77.4,34.1,12.9239,42.1,44,24.71,67.4,53.1,15.31,29.61
2017-18,3,186,Melvin,Frazier,AAC,30,30,1032,22.3,0.631,0.61,0.283,0.366,442,3.9,14.6,9.3,17.9,3.5,2.2,16.9,22.2,1.12,2.4,1.5,3.9,0.152,1.0336,4.2,2.6,6.8,71.2,38.5,10.8955,32,18.8,23.95,70.7,46.1,18.46,35.4
2017-18,3,125,Jacob,Evans,AAC,36,36,1107,20.5,0.543,0.507,0.43,0.302,461,5.2,12,8.7,20,2.6,3.7,12.7,22.5,1.79,2.8,3.1,5.9,0.213,2.2578,4.5,6.1,10.6,75.4,37,15.91,35.3,25,27.92,67.1,43.4,18.4,42.11
2017-18,4,15,Theo,Pinson,ACC,37,37,1100,18.9,0.563,0.495,0.193,0.48,447,5.4,17.6,11.6,27.2,2,2,20.9,18.1,2.1,2.5,1.7,4.2,0.152,1.3376,4.1,4.7,8.8,81.8,22.6,4.3618,31,29.6,20.03,67.4,45.1,17.93,31.14
2017-18,1,12,Troy,Brown,Pac-12,35,35,1093,16.6,0.532,0.494,0.342,0.326,424,5.9,18,12,18.7,2.9,0.8,18.8,21,1.29,1.5,1.6,3.1,0.114,0.4902,1.3,3,4.3,74.3,29.1,9.9522,34.6,28.6,23.33,63.4,26.5,22.58,42.09
2017-18,4,292,Keenan,Evans,Big 12,36,35,1063,25.2,0.602,0.53,0.365,0.586,596,1.3,10.3,5.9,22.7,2.3,1.2,11.9,28.4,1.58,4.2,2,6.2,0.234,2.2464,7.3,2.3,9.6,81.7,32,11.68,39.3,10.9,34.45,69,23,25.74,69.67
2017-18,1,223,Zhaire,Smith,Big 12,37,21,1050,22.9,0.618,0.588,0.144,0.458,419,9.6,11.1,10.4,12.4,2.3,4.5,10.8,18.3,1.59,3.4,2.2,5.6,0.213,2.556,5.8,6.2,12,71.7,45,6.48,39.7,48,18.04,64.9,58.7,12.99,20.76
2017-18,4,355,Milik,Yarbrough,MVC,32,28,895,23.9,0.562,0.493,0.282,0.511,564,5.7,20,12.9,41.4,1.9,2.7,21.1,33.9,1.21,2,1.4,3.4,0.151,1.0419,4.5,2.4,6.9,80.4,29,8.178,37.9,43.8,21.21,60.5,17.9,24.06,40.69
2017-18,2,300,Alize,Johnson,MVC,33,33,1028,24.1,0.528,0.481,0.365,0.363,517,11.4,30.4,21,19.3,0.9,1.5,13.6,27.1,1.27,2.7,2,4.7,0.183,0.9882,4,1.4,5.4,75.9,28.1,10.2565,45.5,47.3,23.33,62.5,26.7,22.19,41.37
2017-18,4,96,Mikal,Bridges,Big East,40,40,1286,26.8,0.655,0.623,0.503,0.282,644,5.2,13.8,9.7,10.6,2.7,3.5,9.1,23.2,1.43,5.4,2.4,7.7,0.241,3.1571,8.7,4.4,13.1,85.1,43.5,21.8805,41.6,25,37.49,67.9,46.3,17.66,52.52
2017-18,2,12,Miles,Bridges,Big Ten,34,33,1067,22.6,0.572,0.535,0.427,0.239,531,5.2,18.2,12.5,16.9,1.2,2.5,11.6,27.1,1.37,3.3,2.2,5.5,0.208,1.9136,5.7,3.5,9.2,85.3,36.4,15.5428,40.9,58.9,22.11,65.6,52.4,15.13,27.83
2017-18,4,24,Grayson,Allen,ACC,37,37,1316,18.8,0.58,0.536,0.637,0.293,574,1.8,8,5.1,21.2,2.8,0.2,13.8,20.7,2.18,4,2,5.9,0.18,1.692,7.1,2.3,9.4,85,37,23.569,43.8,26.2,39.26,60.7,37.8,18.29,58.21
2017-18,3,308,Jerome,Robinson,ACC,35,35,1260,21.3,0.607,0.564,0.384,0.342,670,1.6,9.6,5.6,19.5,1.4,0.4,13.8,27.4,1.21,3.9,1,4.9,0.157,0.7065,5.8,-1.3,4.5,83,40.9,15.7056,43.4,38.9,29.86,64,36.5,19.69,46.52
2017-18,1,18,Gary,Trent,ACC,37,37,1249,16.7,0.567,0.528,0.564,0.227,468,2.9,10.3,6.8,6.8,1.9,0.4,7.4,19.5,1.37,3.3,1.8,5.1,0.163,1.1736,5.4,1.8,7.2,87.6,40.2,22.6728,33.6,29.5,32.09,65.5,47.2,16.75,43.05
2017-18,4,25,Keita,Bates-Diop,Big Ten,34,34,1120,27.6,0.577,0.544,0.357,0.274,604,5.8,24.6,15.6,10.6,1.6,5.8,9.5,29.5,0.92,3.6,2.5,6.1,0.217,2.0398,5.1,4.3,9.4,79.4,35.9,12.8163,44.2,27.2,31.96,72.4,47.2,18.52,46.23
2017-18,2,19,Rawle,Alkins,Pac-12,23,21,723,17.7,0.548,0.504,0.402,0.428,311,8,10.7,9.4,14,2.3,2.5,17.6,23.6,0.98,1.4,0.9,2.3,0.126,0.7938,3.7,2.6,6.3,72.4,35.9,14.4318,25.9,13.3,23.47,64.6,23.5,23.94,44.1
2017-18,2,222,Josh,Okogie,ACC,24,24,873,22.3,0.55,0.475,0.313,0.506,421,7.3,13.1,10.2,15.6,2.9,2.8,13.3,27.3,0.97,2.1,1.3,3.4,0.156,1.0608,4.8,2,6.8,82.1,38,11.894,29.3,17.2,25.86,54.5,43.9,14.81,30.66
