Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
Chris Johnson,2011-12,77,197,SG,Dayton,4,145.0,32,32,950,22.0,0.623,0.5870000000000001,0.617,0.28,371.0,10.1,17.1,13.4,9.4,1.5,2.2,13.8,20.2,3.2,1.0,4.2,0.17800000000000002,7.0,0.9,7.9,124.6,103.1,0.82,147,15.5,3.5,.074,-1.5,0.3,+3.8
Alex Young,2011-12,78,216,SG/SF,IUPUI,4,,32,31,1050,27.7,0.5379999999999999,0.482,0.337,0.37,612.0,6.5,17.3,11.4,15.5,2.9,3.1,11.4,33.4,3.8,0.8,4.6,0.174,6.0,-1.0,5.0,112.8,106.8,0.88,0,0,0,0,0,0,0
Maalik Wayns,2011-12,73,205,PG,Villanova,3,23.0,29,27,975,21.1,0.547,0.472,0.386,0.404,503.0,1.7,12.0,6.6,32.5,1.7,0.1,15.7,27.9,3.1,0.6,3.7,0.152,4.7,1.0,5.7,112.7,107.6,1.53,29,7.3,-0.3,-0.062,-9.3,-0.4,-17.7
Henry Sims,2011-12,83,251,C,Georgetown,4,30.0,33,33,908,21.7,0.524,0.462,0.003,0.5870000000000001,419.0,8.6,18.5,13.7,27.3,1.5,5.6,20.3,27.3,1.9,2.0,3.9,0.174,2.8,4.1,6.8,104.7,91.4,1.23,135,18.8,4.6,.087,-2.8,-0.5,-3.8
Cameron Moore,2011-12,82,223,PF,UAB,4,,31,31,1111,24.7,0.515,0.489,0.057,0.416,466.0,9.8,27.0,18.3,10.0,1.1,7.0,11.7,27.1,2.4,2.3,4.7,0.17,3.2,2.6,5.8,106.4,92.6,0.61,0,0,0,0,0,0,0
Miles Plumlee,2011-12,84,252,PF/C,Duke,4,52.0,34,16,697,21.8,0.621,0.61,0.0,0.521,247.0,16.6,24.6,20.6,5.1,1.5,4.2,18.7,16.1,1.9,1.2,3.1,0.177,4.1,2.1,6.2,121.1,96.4,0.43,346,16.4,10.6,.090,-1.9,0.2,-2.4
Ramone Moore,2011-12,77,188,SG,Temple,4,,32,32,1170,18.2,0.528,0.488,0.325,0.303,535.0,3.1,11.6,7.3,19.1,1.8,0.4,13.5,26.7,2.6,1.0,3.6,0.123,2.9,-0.3,2.6,107.1,105.6,1.34,0,0,0,0,0,0,0
Justin Hamilton,2011-12,84,260,C,LSU,3,194.0,33,32,990,22.7,0.5529999999999999,0.498,0.038,0.428,408.0,11.8,17.2,14.2,7.0,1.5,4.7,12.9,22.6,2.6,1.7,4.3,0.172,3.8,2.1,5.9,113.1,96.5,0.53,113,17.4,3.7,.091,-0.9,0.5,-8.5
Tyshawn Taylor,2011-12,75,180,PG/SG,Kansas,4,65.0,39,38,1303,19.8,0.569,0.5379999999999999,0.321,0.42,635.0,0.7,7.5,4.2,29.7,2.4,0.5,19.5,27.5,3.1,2.1,5.2,0.159,5.0,2.2,7.2,106.9,97.7,1.35,61,8.0,-0.9,-0.088,-8.1,-0.8,-20.0
Scott Machado,2011-12,74,205,PG,Iona,4,,33,33,1171,23.5,0.605,0.5589999999999999,0.316,0.39,590.0,3.1,14.2,8.6,44.2,2.5,0.6,22.5,19.9,4.5,1.4,5.9,0.203,5.5,1.3,6.8,123.3,101.7,3.03,10,4.0,0.0,.013,-2.0,0.0,-12.9
Kyle OQuinn,2011-12,82,241,PF,Norfolk State,4,,36,36,1125,28.6,0.616,0.581,0.08900000000000001,0.626,548.0,12.0,27.9,19.8,10.9,1.3,9.2,17.0,24.9,3.7,2.5,6.2,0.219,3.2,1.8,5.0,116.2,91.1,0.54,472,14.2,17.8,.128,0.9,5.0,+0.8
Tony Mitchell,2011-12,78,220,SF,Alabama,3,41.0,22,21,684,21.2,0.508,0.494,0.285,0.2,270.0,6.8,21.1,14.1,14.1,2.0,5.3,12.6,25.9,1.2,1.7,2.8,0.166,3.7,3.6,7.3,103.1,88.7,0.98,0,0,0,0,0,0,0
Bernard James,2011-12,82,230,PF,Florida State,4,,35,35,979,23.3,0.602,0.606,0.0,0.448,359.0,13.6,21.4,17.6,3.6,1.6,9.5,18.9,20.0,2.0,2.3,4.3,0.17600000000000002,3.6,4.0,7.6,109.8,89.1,0.22,92,8.3,1.9,.117,-1.8,0.0,-2.9
Marcus Denmon,2011-12,75,188,PG/SG,Missouri,4,119.0,35,35,1212,25.6,0.621,0.574,0.5589999999999999,0.308,561.0,3.9,15.1,9.6,11.5,2.7,0.1,7.6,23.6,5.2,1.5,6.7,0.221,8.7,1.3,10.0,129.7,101.5,1.8,0,0,0,0,0,0,0
Xavier Gibson,2011-12,83,266,PF,Florida State,4,44.0,35,35,645,15.5,0.524,0.49,0.098,0.383,230.0,10.6,17.5,14.1,4.6,1.7,7.7,23.2,23.3,0.3,1.4,1.7,0.105,-2.0,3.7,1.7,92.9,91.2,0.2,0,0,0,0,0,0,0
Herb Pope,2011-12,80,261,PF,Seton Hall,4,80.0,33,33,1036,24.1,0.515,0.491,0.117,0.38,485.0,12.7,28.1,20.0,11.0,2.1,6.2,15.2,28.7,1.9,2.4,4.3,0.165,2.7,2.0,4.7,102.2,90.2,0.55,0,0,0,0,0,0,0
JCovan Brown,2011-12,74,202,PG/SG,Texas,3,67.0,34,34,1209,23.2,0.55,0.4920000000000001,0.406,0.34,651.0,2.9,9.0,5.8,25.3,2.0,0.4,12.9,29.5,4.5,1.0,5.5,0.183,7.3,1.4,8.7,116.2,105.3,1.41,0,0,0,0,0,0,0
Jae Crowder,2011-12,78,241,SF/PF,Marquette,4,,35,35,1153,28.8,0.598,0.568,0.406,0.3720000000000001,551.0,7.0,22.6,14.7,13.5,4.3,3.1,7.9,23.4,4.5,3.1,7.6,0.263,8.4,5.4,13.8,125.7,85.9,1.66,650,24.9,34.9,.103,0.2,8.8,+2.4
Reggie Hamilton,2011-12,73,180,PG,Oakland,4,,36,35,1284,31.1,0.61,0.54,0.446,0.475,919.0,2.3,11.9,6.7,33.4,3.2,0.2,14.8,34.8,6.9,0.3,7.1,0.222,8.2,-0.8,7.4,121.2,112.1,1.38,0,0,0,0,0,0,0
Robbie Hummel,2011-12,80,218,SF,Purdue,4,59.0,35,35,1128,25.7,0.54,0.495,0.404,0.295,533.0,5.5,24.3,14.0,12.6,1.3,4.2,5.7,26.3,4.2,1.4,5.6,0.197,7.8,1.6,9.4,120.1,101.6,2.06,98,14.3,1.9,.066,-3.1,-0.4,0.0
Dee Bost,2011-12,74,180,PG,Mississippi State,4,,33,33,1197,20.8,0.536,0.484,0.534,0.409,552.0,1.8,9.5,5.6,30.6,3.4,0.6,17.1,25.7,3.1,1.3,4.4,0.14800000000000002,4.2,1.4,5.6,109.2,102.6,1.83,0,0,0,0,0,0,0
Tu Holloway,2011-12,72,187,PG,Xavier,4,,34,34,1247,22.2,0.5870000000000001,0.487,0.336,0.654,601.0,1.3,10.8,6.0,27.5,2.5,0.3,16.7,25.1,4.1,1.4,5.5,0.17600000000000002,4.6,2.0,6.7,115.9,102.4,1.63,0,0,0,0,0,0,0
Mitchell Watt,2011-12,81,221,PF,Buffalo,4,,31,31,937,26.6,0.608,0.57,0.1,0.457,469.0,8.4,20.0,14.3,17.2,1.2,7.4,16.2,26.2,3.1,1.7,4.8,0.204,4.0,2.7,6.7,115.9,95.7,0.9,0,0,0,0,0,0,0
Chace Stanback,2011-12,80,208,SG/SF,UNLV,4,56.0,34,32,947,19.9,0.602,0.578,0.542,0.188,363.0,4.7,14.0,9.3,9.0,2.0,1.5,9.9,20.6,2.6,1.6,4.2,0.17800000000000002,4.5,1.5,6.0,119.6,96.8,1.1,0,0,0,0,0,0,0
Yancy Gates,2011-12,81,289,PF/C,Cincinnati,4,22.0,31,29,993,20.7,0.498,0.477,0.015,0.322,361.0,10.8,22.9,16.4,4.8,1.4,3.1,8.2,21.5,2.1,1.9,4.0,0.162,3.2,1.3,4.5,110.1,94.1,0.65,0,0,0,0,0,0,0
Rakim Sanders,2011-12,77,228,SF,Fairfield,4,88.0,37,37,1195,23.6,0.564,0.547,0.3,0.338,580.0,10.4,22.1,16.0,19.2,2.7,1.2,18.3,29.3,2.7,2.6,5.3,0.177,3.7,1.0,4.7,105.1,91.6,0.75,0,0,0,0,0,0,0
Greg Mangano,2011-12,82,231,PF/C,Yale,4,,29,29,931,26.2,0.5429999999999999,0.519,0.274,0.349,466.0,11.3,25.7,18.1,4.1,0.8,7.2,10.5,29.6,2.6,1.9,4.5,0.194,4.0,0.4,4.5,110.0,93.0,0.25,0,0,0,0,0,0,0
Eli Holman,2011-12,81,258,PF,Detroit,4,78.0,26,2,605,27.8,0.61,0.607,0.0,0.378,266.0,15.2,23.4,19.0,7.3,1.9,6.7,11.1,21.7,2.2,1.0,3.1,0.207,5.0,0.4,5.4,123.6,97.7,0.66,0,0,0,0,0,0,0
Ricardo Ratliffe,2011-12,80,244,PF,Missouri,4,,35,35,916,29.9,0.698,0.693,0.0,0.32,448.0,16.1,21.3,18.8,4.9,1.4,4.0,13.8,23.4,4.2,1.3,5.5,0.242,6.5,0.4,6.9,130.8,99.5,0.38,0,0,0,0,0,0,0
Bradford Burgess,2011-12,78,212,SG/SF,VCU,4,348.0,36,36,1164,18.5,0.526,0.469,0.568,0.386,448.0,4.0,16.1,9.4,10.6,2.1,1.1,8.9,22.5,3.0,2.2,5.2,0.177,3.7,1.2,4.9,113.9,94.6,1.24,0,0,0,0,0,0,0
Carlon Brown,2011-12,76,216,SG,Colorado,4,373.0,36,36,1027,18.1,0.5329999999999999,0.504,0.37,0.267,428.0,3.7,12.2,8.1,17.2,1.7,1.1,14.1,25.6,1.9,1.5,3.4,0.133,3.2,1.2,4.4,104.4,98.9,1.04,0,0,0,0,0,0,0
Garrett Stutz,2011-12,84,252,C,Wichita State,4,263.0,32,32,786,26.5,0.605,0.5589999999999999,0.111,0.377,394.0,9.7,29.5,19.8,9.4,0.9,4.5,16.1,27.3,2.6,2.0,4.5,0.23,4.0,2.3,6.3,114.5,88.2,0.52,0,0,0,0,0,0,0
Dion Dixon,2011-12,75,190,SG,Cincinnati,4,285.0,37,37,1266,16.8,0.474,0.425,0.42,0.387,472.0,5.8,5.9,5.9,12.2,3.0,1.4,11.7,23.5,2.0,1.7,3.7,0.117,2.7,1.9,4.6,103.7,100.4,1.13,0,0,0,0,0,0,0
Casper Ware,2011-12,70,170,PG,Long Beach State,4,,34,33,1146,20.1,0.545,0.501,0.561,0.318,555.0,1.4,7.4,4.4,20.8,2.4,0.3,13.0,27.7,3.3,1.7,5.0,0.174,4.3,0.4,4.7,112.0,99.2,1.41,9,12.9,0.2,.071,-2.4,0.0,+8.4
Kenny Frease,2011-12,83,265,C,Xavier,4,40.0,36,33,885,18.7,0.524,0.51,0.006999999999999999,0.395,354.0,9.7,20.3,14.9,9.6,0.7,5.0,16.3,24.2,1.2,1.2,2.5,0.111,1.4,1.5,2.9,101.0,99.6,0.56,0,0,0,0,0,0,0
Kent Bazemore,2011-12,77,201,SG,Old Dominion,4,393.0,35,32,1103,21.1,0.495,0.463,0.348,0.398,519.0,6.1,17.2,11.1,23.9,4.1,1.3,17.1,29.7,1.8,2.5,4.2,0.154,3.3,3.1,6.4,100.2,90.8,0.96,595,20.8,12.4,.048,-1.3,2.1,-1.9
Larry Anderson,2011-12,77,211,SG/SF,Long Beach State,4,384.0,31,31,1057,21.1,0.608,0.5720000000000001,0.397,0.596,412.0,3.4,14.1,8.8,16.9,3.2,1.0,15.9,20.0,3.0,2.1,5.1,0.193,3.8,2.9,6.7,118.8,94.0,1.39,0,0,0,0,0,0,0
Dario Hunt,2011-12,80,230,PF,Nevada,4,366.0,35,34,1140,18.6,0.495,0.495,0.0,0.5539999999999999,391.0,13.5,22.9,18.1,10.3,1.7,7.8,20.8,20.7,1.0,2.3,3.3,0.115,-0.7,2.2,1.5,97.3,93.3,0.58,0,0,0,0,0,0,0
Kyle Fogg,2011-12,75,183,SG,Arizona,4,180.0,35,34,1124,18.5,0.5820000000000001,0.529,0.486,0.456,433.0,1.9,12.3,7.1,15.4,2.0,1.2,13.5,22.3,2.9,1.7,4.6,0.16399999999999998,3.3,2.3,5.7,114.1,98.3,1.21,0,0,0,0,0,0,0
Nick Barbour,2011-12,75,175,SG,High Point,4,,31,31,1014,26.7,0.628,0.5760000000000001,0.537,0.451,539.0,1.9,7.9,4.8,10.1,2.1,1.3,9.5,28.9,4.7,0.4,5.1,0.201,7.5,-1.3,6.2,125.7,110.7,0.79,0,0,0,0,0,0,0
Ben McLemore,2012-13,77,190,SG,Kansas,1,39.0,37,36,1191,23.2,0.633,0.586,0.435,0.345,530.0,5.0,13.2,9.4,12.6,1.8,2.2,14.2,23.2,4.2,2.3,6.5,0.217,7.2,3.4,10.5,121.4,93.7,0.95,470,23.1,7.9,.035,-3.1,-2.9,+0.8
Cody Zeller,2012-13,84,230,PF/C,Indiana,2,10.0,36,36,1062,29.8,0.624,0.564,0.006,0.7340000000000001,567.0,12.3,20.4,16.6,9.5,2.1,4.4,14.5,26.5,4.8,2.5,7.3,0.274,7.2,3.8,11.1,124.5,89.5,0.58,445,22.9,29.4,.139,-0.5,3.9,+3.1
CJ McCollum,2012-13,75,197,PG/SG,Lehigh,4,,12,11,372,34.7,0.628,0.58,0.33,0.376,250.0,4.0,15.8,10.0,24.9,2.7,1.2,12.3,37.2,1.9,0.6,2.4,0.261,9.0,0.3,9.3,118.5,98.1,1.09,502,31.0,34.1,.105,1.1,12.2,+2.9
Alex Len,2012-13,85,255,C,Maryland,2,,38,37,1004,24.5,0.57,0.535,0.025,0.472,434.0,13.2,21.0,17.2,7.8,0.5,8.0,13.1,22.8,3.0,2.0,5.0,0.2,3.6,3.2,6.8,116.2,93.1,0.62,503,19.3,19.4,.096,-1.9,0.2,-2.0
Victor Oladipo,2012-13,76,213,SG/SF,Indiana,3,136.0,36,36,1021,28.9,0.6709999999999999,0.648,0.224,0.428,478.0,11.8,15.1,13.5,15.2,4.6,2.8,18.5,22.2,4.2,2.6,6.7,0.264,8.9,6.2,15.1,125.7,87.3,0.89,450,33.0,25.0,.081,1.0,11.1,+4.2
Nerlens Noel,2012-13,83,206,PF/C,Kentucky,1,1.0,24,24,765,27.3,0.583,0.59,0.0,0.627,257.0,10.4,23.9,17.4,9.5,3.9,13.2,17.3,17.4,1.6,2.3,3.9,0.206,4.3,7.8,12.1,112.9,82.3,0.84,401,22.1,24.3,.131,0.9,6.4,-1.8
Otto Porter,2012-13,81,200,SF,Georgetown,2,31.0,31,30,1097,27.3,0.59,0.541,0.29100000000000004,0.449,477.0,6.7,20.9,13.9,18.5,3.3,3.0,10.0,24.1,4.2,3.0,7.1,0.26,8.2,5.4,13.7,122.3,85.3,1.79,439,26.5,31.1,.128,1.6,10.6,+4.7
Anthony Bennett,2012-13,79,240,SF/PF,UNLV,1,6.0,35,31,950,28.3,0.609,0.58,0.253,0.467,488.0,10.3,24.0,17.1,8.8,1.5,4.6,12.3,27.5,3.5,2.2,5.7,0.238,6.1,2.5,8.6,117.6,89.6,0.52,151,12.6,0.5,.013,-4.8,-1.3,-7.0
Trey Burke,2012-13,73,190,PG,Michigan,2,93.0,39,39,1378,28.7,0.569,0.53,0.354,0.29600000000000004,776.0,1.9,9.6,5.7,37.3,2.8,1.5,11.9,28.3,6.7,1.8,8.6,0.249,9.4,3.7,13.1,123.4,100.0,3.02,437,22.2,12.7,.063,-1.1,2.1,-2.0
Kentavious Caldwell-Pope,2012-13,78,205,SG,Georgia,2,12.0,32,30,1086,27.7,0.579,0.53,0.523,0.393,521.0,4.3,21.3,12.9,16.8,3.8,1.9,11.1,29.2,3.9,2.4,6.2,0.23,8.4,4.1,12.5,115.7,91.0,0.91,582,29.0,29.7,.084,-0.8,4.9,+1.1
Steven Adams,2012-13,84,255,C,Pitt,1,5.0,32,32,749,23.2,0.555,0.5710000000000001,0.0,0.4,228.0,15.3,21.0,18.0,5.4,1.9,11.2,14.4,17.7,1.6,1.9,3.5,0.185,4.0,4.2,8.1,112.9,87.6,0.57,572,26.9,48.0,.150,0.3,9.0,+5.1
Michael Carter-Williams,2012-13,78,185,PG,Syracuse,2,26.0,40,40,1409,20.9,0.491,0.438,0.302,0.472,580.0,4.0,12.7,8.2,40.1,4.7,1.8,22.2,22.2,2.7,3.5,6.1,0.174,4.0,5.5,9.4,104.6,87.9,2.11,385,25.3,6.7,.033,-1.2,1.9,+1.2
Tim Hardaway,2012-13,78,200,SG,Michigan,3,161.0,38,38,1324,17.7,0.5379999999999999,0.516,0.424,0.241,505.0,0.8,16.3,8.4,13.0,1.2,1.4,12.2,23.7,2.8,1.7,4.5,0.136,3.6,1.8,5.5,108.5,100.7,1.31,517,26.8,22.0,.076,-0.9,3.8,-0.5
Shabazz Muhammad,2012-13,78,225,SF,UCLA,1,2.0,32,30,987,21.9,0.528,0.487,0.232,0.395,520.0,9.9,9.3,9.6,5.8,1.3,0.4,8.6,29.8,2.9,0.8,3.7,0.149,5.8,-1.1,4.7,110.1,105.4,0.53,278,17.2,8.5,.085,-2.0,0.0,-4.7
Kelly Olynyk,2012-13,84,234,C,Gonzaga,3,,32,27,845,36.2,0.675,0.642,0.08800000000000001,0.4970000000000001,516.0,11.8,22.6,17.4,15.1,1.6,5.1,15.4,30.7,4.7,1.9,6.7,0.315,10.4,3.6,13.9,127.1,89.9,0.71,544,21.7,30.7,.125,0.7,7.9,+3.9
Tony Mitchell,2012-13,81,236,SF/PF,North Texas,2,16.0,32,29,1037,20.8,0.53,0.487,0.314,0.494,395.0,8.4,23.1,15.4,5.7,1.8,8.5,16.6,22.7,1.6,1.8,3.3,0.128,1.0,1.2,2.2,102.5,95.9,0.33,21,3.8,0.2,.151,0.4,0.0,+10.2
Tony Snell,2012-13,79,198,SG/SF,New Mexico,3,,35,35,1093,17.0,0.562,0.516,0.481,0.299,408.0,1.6,8.9,5.2,22.4,1.6,1.9,15.6,22.8,2.1,1.5,3.6,0.133,4.1,2.1,6.2,107.0,99.5,1.4,534,22.4,17.5,.070,-1.9,0.3,-1.9
Nate Wolters,2012-13,77,196,PG,South Dakota State,4,,33,33,1256,32.0,0.604,0.5489999999999999,0.339,0.461,750.0,3.7,15.4,9.5,34.3,2.8,0.4,11.2,29.8,7.0,1.6,8.5,0.272,8.3,1.3,9.6,126.9,101.0,2.51,84,18.8,0.9,.028,-2.6,-0.2,+9.1
Shane Larkin,2012-13,71,171,PG,Miami,2,117.0,36,35,1311,22.6,0.6,0.569,0.445,0.293,537.0,1.6,11.4,6.5,26.1,3.4,0.3,15.9,21.3,4.3,2.3,6.5,0.199,5.2,3.8,9.1,119.2,95.9,2.0,256,19.1,4.4,.044,-2.4,-0.6,-2.0
Gorgui Dieng,2012-13,83,230,C,Louisville,3,43.0,33,32,1026,23.8,0.562,0.534,0.0,0.479,352.0,12.9,23.6,18.1,12.3,2.6,9.4,17.0,17.0,2.5,3.2,5.6,0.219,5.1,6.4,11.5,115.9,81.9,1.12,537,21.8,28.9,.118,0.2,6.6,+0.2
Mason Plumlee,2012-13,83,238,PF,Duke,4,27.0,36,36,1248,26.3,0.628,0.599,0.0,0.688,605.0,9.7,25.1,17.4,11.5,1.7,4.0,17.4,24.5,4.3,2.6,6.9,0.22,5.9,3.6,9.5,117.2,92.2,0.68,575,22.0,38.1,.144,1.4,10.8,-1.3
Allen Crabbe,2012-13,78,197,SG,California,3,66.0,33,33,1195,22.3,0.568,0.528,0.393,0.297,548.0,3.3,16.0,9.8,16.2,1.9,1.9,13.5,26.6,3.3,1.8,5.1,0.17,6.0,2.4,8.4,110.8,97.8,1.05,381,24.0,13.7,.072,-1.6,0.9,-3.0
Erick Green,2012-13,75,180,PG/SG,Virginia Tech,4,269.0,32,32,1166,31.6,0.5920000000000001,0.53,0.285,0.485,753.0,1.4,11.6,6.3,27.0,2.1,0.6,9.3,32.4,6.2,0.3,6.5,0.222,10.1,1.3,11.4,123.6,111.4,1.75,52,8.7,0.1,.011,-4.0,-0.2,-7.1
Isaiah Canaan,2012-13,72,190,PG,Murray State,4,,31,30,1131,25.2,0.5760000000000001,0.525,0.509,0.371,650.0,2.0,10.0,5.9,27.6,2.5,0.4,14.3,30.9,4.5,1.3,5.9,0.207,5.8,0.0,5.8,116.1,101.6,1.36,235,20.4,4.3,.043,-2.4,-0.5,-5.2
Reggie Bullock,2012-13,79,200,SG/SF,UNC,3,15.0,35,35,1100,23.7,0.625,0.607,0.5670000000000001,0.205,460.0,6.7,17.2,11.5,16.6,2.2,0.9,9.9,18.5,4.1,1.6,5.7,0.207,8.1,2.9,11.1,130.4,98.2,2.35,340,20.6,12.2,.083,-0.9,1.9,-0.4
Jamaal Franklin,2012-13,77,191,SG/SF,San Diego State,3,,32,32,1058,24.8,0.536,0.461,0.3670000000000001,0.546,544.0,6.2,28.8,17.3,21.6,2.9,2.6,17.9,29.9,2.5,2.8,5.3,0.202,4.2,4.3,8.5,104.9,85.7,0.95,24,7.3,0.0,-0.006,-5.9,-0.2,+1.4
Lorenzo Brown,2012-13,77,189,PG/SG,NC State,3,29.0,33,32,1129,19.9,0.509,0.449,0.228,0.419,500.0,2.4,12.3,7.5,36.7,3.4,1.6,22.2,22.8,2.3,1.3,3.6,0.127,3.5,2.0,5.5,105.6,102.0,2.1,103,11.5,-0.2,-0.007,-3.5,-0.5,+0.1
Jeff Withey,2012-13,84,222,C,Kansas,4,28.0,37,36,1144,27.2,0.621,0.583,0.003,0.604,467.0,8.8,22.3,16.1,6.2,1.4,13.7,15.1,21.5,3.4,3.2,6.6,0.231,4.9,6.6,11.5,117.8,84.2,0.48,206,10.1,6.8,.157,0.5,1.3,+1.1
CJ Leslie,2012-13,81,209,SF/PF,NC State,3,10.0,35,33,1135,20.1,0.55,0.522,0.016,0.627,499.0,7.0,19.6,13.5,8.4,1.7,3.7,17.9,25.8,2.0,1.4,3.4,0.12,1.7,1.4,3.1,103.0,101.0,0.49,0,0,0,0,0,0,0
James Ennis,2012-13,79,200,SG/SF,Long Beach State,4,,33,32,1093,25.3,0.616,0.565,0.415,0.407,517.0,6.9,17.0,11.9,14.4,3.1,4.2,18.3,24.9,3.4,1.4,4.7,0.173,5.7,1.4,7.1,114.2,100.7,0.71,376,20.3,15.5,.098,-1.5,1.0,+0.3
Robert Covington,2012-13,79,209,SF,Tennessee State,4,,23,21,712,27.9,0.564,0.503,0.35,0.384,364.0,10.9,20.4,15.6,10.0,4.1,5.9,13.9,28.1,2.3,1.3,3.7,0.205,4.4,1.9,6.3,113.7,94.1,0.54,440,30.2,23.6,.085,0.4,8.1,+7.4
James Southerland,2012-13,80,221,SF/PF,Syracuse,4,,34,11,1003,22.8,0.586,0.5670000000000001,0.589,0.159,381.0,4.9,16.0,10.2,7.7,3.0,3.5,9.2,21.3,3.2,2.3,5.5,0.219,6.9,4.5,11.5,121.9,89.3,0.92,4,7.5,0.0,-0.023,-2.7,0.0,+8.2
Pierre Jackson,2012-13,70,176,PG,Baylor,4,,36,35,1252,26.0,0.574,0.514,0.484,0.474,749.0,2.2,10.3,6.2,40.7,2.5,0.0,16.4,29.5,5.3,1.6,7.0,0.222,8.5,2.0,10.5,117.5,100.1,2.09,8,10.5,0.0,.021,-4.4,-0.1,+36.8
Myck Kabongo,2012-13,74,180,PG,Texas,2,15.0,11,11,410,20.2,0.5489999999999999,0.455,0.245,0.7,172.0,2.0,13.6,7.7,33.5,3.2,0.0,20.2,22.8,0.9,0.7,1.6,0.156,2.6,2.5,5.1,108.1,96.5,1.65,0,0,0,0,0,0,0
Erik Murphy,2012-13,82,240,PF,Florida,4,55.0,36,34,952,24.4,0.643,0.629,0.5,0.16,394.0,7.8,19.2,13.5,11.0,1.5,3.1,13.0,22.5,3.6,2.4,6.0,0.253,7.3,4.3,11.6,124.6,87.0,0.98,24,2.6,-0.1,-0.055,-8.6,-0.1,-41.9
Kenny Kadji,2012-13,82,242,PF/C,Miami,4,27.0,36,36,1047,21.4,0.5589999999999999,0.536,0.375,0.34700000000000003,427.0,6.6,22.1,14.3,6.2,0.8,4.9,13.2,24.7,2.5,2.0,4.5,0.172,4.1,2.3,6.3,109.6,94.1,0.48,0,0,0,0,0,0,0
Trevor Mbakwe,2012-13,80,236,PF/C,Minnesota,4,,34,22,847,24.9,0.586,0.565,0.005,0.738,332.0,15.7,27.2,21.3,9.6,1.7,6.7,19.5,21.7,2.1,1.7,3.9,0.183,4.5,2.9,7.4,111.8,92.4,0.53,0,0,0,0,0,0,0
Rodney Williams,2012-13,79,200,SF,Minnesota,4,59.0,33,33,930,18.7,0.515,0.485,0.16399999999999998,0.424,326.0,9.5,12.4,10.9,13.0,1.8,5.5,14.1,20.7,2.0,1.2,3.2,0.136,2.9,2.5,5.4,110.3,100.8,1.06,0,0,0,0,0,0,0
Deshaun Thomas,2012-13,78,220,SF/PF,Ohio State,3,19.0,37,37,1309,24.2,0.551,0.506,0.358,0.29,651.0,5.8,15.0,10.3,8.6,0.9,1.0,7.3,29.1,4.8,2.0,6.9,0.209,7.9,1.1,9.0,116.7,97.6,0.92,0,0,0,0,0,0,0
Ryan Kelly,2012-13,83,230,PF,Duke,4,16.0,23,23,664,23.5,0.586,0.535,0.392,0.401,286.0,6.9,15.4,11.2,11.0,1.4,5.4,8.4,21.4,2.4,1.1,3.5,0.21,7.2,4.0,11.1,124.5,96.5,1.65,163,19.2,3.0,.046,-2.6,-0.5,+3.7
Archie Goodwin,2012-13,77,189,SG,Kentucky,1,15.0,33,33,1048,16.9,0.509,0.464,0.179,0.594,467.0,5.6,11.2,8.5,16.8,2.1,1.4,18.1,27.2,1.6,1.5,3.1,0.117,1.0,1.1,2.1,100.1,99.1,0.87,165,14.5,1.1,.022,-3.0,-0.6,-8.5
Grant Jerrett,2012-13,82,232,PF,Arizona,1,9.0,34,2,606,16.6,0.535,0.513,0.513,0.14300000000000002,170.0,7.6,17.9,12.7,5.7,1.6,5.8,10.4,15.6,1.2,1.1,2.3,0.15,3.5,3.2,6.6,115.8,95.1,0.95,8,6.4,-0.1,-0.128,-10.8,-0.1,-20.3
Ray McCallum,2012-13,73,190,PG,Detroit,3,26.0,33,33,1208,25.7,0.578,0.539,0.298,0.47,617.0,4.0,14.3,8.7,23.8,3.0,1.8,11.3,24.4,4.7,1.3,6.0,0.2,6.3,1.1,7.3,121.5,102.3,2.16,154,18.2,2.1,.035,-2.6,-0.4,-4.3
Dewayne Dedmon,2012-13,83,240,C,USC,3,258.0,31,29,691,20.1,0.524,0.5,0.017,0.267,213.0,11.7,26.6,18.9,5.8,2.9,10.0,19.8,18.5,0.6,1.6,2.2,0.127,0.2,5.2,5.4,98.2,89.8,0.39,394,18.3,17.6,.118,-1.1,1.6,+1.4
Carrick Felix,2012-13,78,203,SG/SF,Arizona State,4,,35,34,1235,21.5,0.586,0.569,0.368,0.32299999999999995,481.0,7.1,20.0,13.6,9.6,2.4,3.2,13.8,21.3,3.0,2.1,5.1,0.165,3.7,2.3,6.0,112.7,96.2,0.81,7,5.4,0.0,.057,-3.4,0.0,+8.6
Peyton Siva,2012-13,73,181,PG,Louisville,4,34.0,40,40,1247,17.5,0.513,0.459,0.384,0.285,463.0,1.1,8.1,4.5,34.3,4.3,0.6,21.3,20.0,2.3,3.0,5.3,0.17,2.6,4.7,7.3,106.6,89.1,2.15,24,9.3,-0.2,-0.032,-6.4,-0.2,-3.4
