Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
DaJuan Summers,2008-09,80,243,SF,Georgetown,3,19.0,31,31,910,,0.598,0.564,0.467,0.471,,,,8.7,9.8,,1.9,18.6,25.7,2.8,1.2,4.0,0.177,,,,,,0.48,83,9.9,-0.1,-0.008,-5.8,-0.8,-5.7
Ty Lawson,2008-09,72,197,PG,UNC,3,7.0,35,35,1048,,0.659,0.607,0.316,0.608,,,,5.1,35.6,,0.3,13.0,21.4,4.4,2.5,6.9,0.263,,,,,,3.48,551,29.2,42.1,.126,1.4,13.6,+0.6
Taj Gibson,2008-09,82,214,PF,USC,3,49.0,35,35,1179,,0.621,0.601,0.0,0.5760000000000001,,,,,,,,15.2,,3.8,3.8,7.7,0.26,,,,,,0.61,818,25.0,53.4,.125,-0.8,6.4,+2.5
Darren Collison,2008-09,73,166,PG,UCLA,4,80.0,35,35,1103,,0.624,0.568,0.302,0.366,,,,4.9,28.4,,0.4,17.7,23.1,3.8,1.6,5.4,0.196,,,,,,1.91,708,29.4,49.9,.115,0.6,13.5,-0.8
Toney Douglas,2008-09,74,183,PG/SG,Florida State,4,77.0,35,35,1279,,0.581,0.525,0.412,0.433,,,,6.1,20.2,,0.9,11.9,29.0,4.6,1.7,6.3,0.196,,,,,,1.17,394,19.1,12.1,.077,-0.8,2.2,+0.3
Sam Young,2008-09,78,223,SF,Pitt,4,,36,36,1146,,0.5820000000000001,0.5539999999999999,0.279,0.29600000000000004,,,,11.2,7.1,,2.1,12.9,29.0,3.9,3.1,6.9,0.242,,,,,,0.45,249,15.9,5.2,.063,-2.1,-0.1,-6.3
Jrue Holiday,2008-09,76,199,PG/SG,UCLA,1,3.0,35,35,950,,0.532,0.504,0.353,0.249,,,,8.9,23.8,,1.7,21.2,19.3,1.2,2.1,3.3,0.138,,,,,,1.72,747,33.2,46.4,.090,1.3,20.4,+6.2
Dionte Christmas,2008-09,77,211,SG,Temple,4,,34,34,1191,,0.55,0.515,0.5770000000000001,0.3,,,,,,,,14.0,,3.1,2.1,5.2,0.175,,,,,,1.0,31,6.4,0.3,.083,-1.8,0.0,-7.4
Jermaine Taylor,2008-09,77,207,SG,Central Florida,4,260.0,31,31,989,,0.591,0.556,0.404,0.281,,,,9.7,17.5,,2.1,11.2,39.3,4.9,1.4,6.2,0.252,,,,,,0.67,65,12.1,0.2,.014,-3.7,-0.3,-13.4
Patrick Mills,2008-09,72,175,PG,Saint Mary's,2,,26,24,867,,0.529,0.485,0.489,0.244,,,,3.9,25.7,,0.5,14.2,30.0,1.8,1.9,3.6,0.16699999999999998,,,,,,1.35,713,19.7,32.5,.111,0.5,9.0,+3.5
Marcus Thornton,2008-09,76,194,SG,LSU,4,121.0,35,35,1116,,0.58,0.544,0.371,0.369,,,,9.5,15.4,,0.9,9.1,30.9,4.2,2.4,6.6,0.235,,,,,,1.17,483,23.4,20.0,.085,0.2,6.2,-1.5
Josh Heytvelt,2008-09,83,246,PF,Gonzaga,4,85.0,34,34,993,,0.609,0.5770000000000001,0.16699999999999998,0.456,,,,12.5,4.3,,2.4,9.4,23.5,3.4,2.5,5.8,0.235,,,,,,0.51,0,0,0,0,0,0,0
Austin Daye,2008-09,83,192,SF,Gonzaga,2,34.0,34,33,895,,0.56,0.532,0.252,0.327,,,,14.5,7.8,,6.2,15.9,26.0,2.1,3.6,5.7,0.255,,,,,,0.51,293,14.1,4.5,.053,-2.0,0.0,-2.9
Jeff Pendergraph,2008-09,82,240,PF,Arizona State,4,,35,35,1139,,0.69,0.66,0.003,0.483,,,,16.8,6.7,,2.3,10.4,21.1,5.1,2.3,7.3,0.258,,,,,,0.72,237,9.8,6.3,.131,-2.3,-0.2,-5.4
Curtis Jerrells,2008-09,73,195,PG,Baylor,4,103.0,39,39,1351,,0.564,0.51,0.449,0.464,,,,,,,,17.5,,3.2,1.6,4.9,0.14400000000000002,,,,,,1.61,0,0,0,0,0,0,0
Jerel McNeal,2008-09,75,190,SG,Marquette,4,71.0,35,35,1226,,0.5579999999999999,0.522,0.404,0.343,,,,7.6,24.4,,1.4,14.2,28.9,3.2,2.6,5.9,0.191,,,,,,1.33,6,6.0,-0.1,-0.149,-9.1,-0.1,-3.3
Jeff Adrien,2008-09,78,235,PF,UConn,4,50.0,36,36,1245,,0.529,0.505,0.003,0.495,,,,15.2,9.2,,2.3,12.3,20.7,1.7,3.5,5.2,0.166,,,,,,0.92,153,14.0,4.4,.098,-2.2,-0.1,+1.9
Leo Lyons,2008-09,81,235,SF/PF,Missouri,4,,37,33,861,,0.569,0.5,0.036000000000000004,0.6859999999999999,,,,14.2,15.8,,2.3,15.2,30.4,2.7,3.1,5.7,0.266,,,,,,0.86,0,0,0,0,0,0,0
Dante Cunningham,2008-09,80,227,SF/PF,Villanova,4,202.0,38,38,1199,,0.557,0.525,0.004,0.383,,,,,,,,13.0,,2.8,3.6,6.3,0.212,,,,,,0.57,715,20.8,24.9,.080,-1.7,1.1,-2.2
Robert Dozier,2008-09,82,215,SF/PF,Memphis,4,79.0,37,36,1118,,0.594,0.552,0.175,0.5379999999999999,,,,13.7,9.3,,4.4,15.6,20.7,3.1,5.3,8.4,0.302,,,,,,0.72,0,0,0,0,0,0,0
Danny Green,2008-09,78,208,SF,UNC,4,27.0,38,38,1040,,0.5920000000000001,0.569,0.471,0.156,,,,8.9,16.3,,3.4,13.0,20.5,2.7,3.6,6.3,0.241,,,,,,1.65,734,25.6,45.4,.116,2.0,18.8,+4.3
Tyrese Rice,2008-09,72,190,PG,Boston College,4,236.0,33,33,1101,,0.5710000000000001,0.491,0.449,0.513,,,,6.5,32.0,,0.5,20.4,27.2,3.0,1.6,4.6,0.168,,,,,,1.41,0,0,0,0,0,0,0
