Name,NBA 3PC
Jamal Shead,0.6889490163301739
Devin Carter,0.759078370106406
Reed Sheppard,0.9911919324756531
Rob Dillingham,0.8770136250582106
Isaiah Collier,0.5309498104491521
Zach Edey,0.4446196716356986
Donovan Clingan,0.4766763857595058
DaRon Holmes,0.5616618856513311
Terrence Shannon Jr.,0.7903913994794372
Dalton Knecht,0.8500147362149584
Kyle Filipowski,0.49363346663114954
Jared McCain,0.9336496454993146
Kelel Ware,0.39570927932339767
Ryan Dunn,0.5543926069119823
Tristan Da Silva,0.9618343921423197
Jaylon Tyson,0.710662136583566
Stephon Castle,0.6661842892870724
Cody Williams,0.5742611475400824
