Name,Height,Weight,Position,School,Class,RSCI
Markel Brown,6-4,185,SG,Oklahoma State,Sr.,142
PJ Hairston,6-5,228,SG,USA,Jr.,13
DeAndre Daniels,6-8,195,SF,UConn,Jr.,59
Nick Johnson,6-3,198,SG,Arizona,Jr.,23
Dwight Powell,6-11,235,PF,Stanford,Sr.,34
Semaj Christon,6-3,186,PG,Xavier,So.,55
Khem Birch,6-9,209,PF,UNLV,Jr.,11
Mitch McGary,6-10,266,C,Michigan,So.,27
Jabari Brown,6-4,215,SG,Missouri,Jr.,14
James McAdoo,6-9,230,PF,North Carolina,Jr.,6
Cameron Bairstow,6-10,252,PF,New Mexico,Sr.,
Deonte Burton,6-1,193,PG/SG,Nevada,Sr.,53
CJ Fair,6-8,218,SF,Syracuse,Sr.,81
Cory Jefferson,6-9,220,PF,Baylor,Sr.,78
Alec Brown,7-1,231,PF/C,Wisconsin Green Bay,Sr.,
Ronald Roberts,6-8,215,PF,St. Joseph's,Sr.,
DeAndre Kane,6-4,200,PG/SG,Iowa St.,Sr.,
Tarik Black,6-9,260,PF/C,Kansas,Sr.,62
Patric Young,6-10,247,PF/C,Florida,Sr.,16
Juvonte Reddic,6-9,250,PF/C,VCU,Sr.,
Fuquan Edwin,6-6,210,SG/SF,Seton Hall,Sr.,162
Andre Dawkins,6-5,205,SG,Duke,Sr.,
Sean Kilpatrick,6-4,220,SG,Cincinnati,Sr.,341
Jahii Carson,5-11,180,PG,Arizona St.,So.,35
Kendall Williams,6-3,183,PG,New Mexico,Sr.,
Devyn Marble,6-6,192,SG,Iowa,Sr.,
Keith Appling,6-1,180,PG/SG,Michigan St.,Sr.,36
Xavier Thames,6-3,187,PG/SG,San Diego St.,Sr.,131
Jordan Bachynski,7-2,248,C,Arizona St.,Sr.,
Casey Prather,6-5,200,SG,Florida,Sr.,55
LaQuinton Ross,6-8,240,SF,Ohio St.,Jr.,32
Justin Cobbs,6-2,190,PG,California,Sr.,163
Russ Smith,6-1,160,PG/SG,Louisville,Sr.,282
Eric Moreland,6-10,225,PF/C,Oregon St.,Jr.,252
Akil Mitchell,6-9,230,PF,Virginia,Sr.,
Jordan McRae,6-5,180,SG,Tennessee,Sr.,39
Geron Johnson,6-3,203,SG,Memphis,Sr.,78
Lamar Patterson,6-5,225,SG/SF,Pittsburgh,Sr.,123
Melvin Ejim,6-6,220,SF/PF,Iowa St.,Sr.,
Jerrelle Benimon,6-8,245,PF,Towson,Sr.,
Roscoe Smith,6-9,202,PF,UNLV,Jr.,31
Brendan Lane,6-9,235,PF,Pepperdine,Sr.,56
Richard Solomon,6-11,225,PF/C,California,Sr.,120
Scottie Wilbekin,6-3,170,PG,Florida,Sr.,
Cameron Clark,6-6,210,SF,Oklahoma,Sr.,37
Talib Zanna,6-8,230,PF,Pittsburgh,Sr.,86
Devin Oliver,6-7,225,SF,Dayton,Sr.,
Sim Bhullar,7-5,360,C,New Mexico St.,So.,
Joe Jackson,6-0,170,PG,Memphis,Sr.,19
Roberto Nelson,6-3,195,PG/SG,Oregon St.,Sr.,72
Aaron Craft,6-2,192,PG,Ohio St.,Sr.,115
Bryce Cotton,6-0,165,PG,Providence,Sr.,
Alex Kirk,6-10,252,C,New Mexico,Jr.,103
Jamil Wilson,6-7,220,SF,Marquette,Sr.,40
Karl-Anthony Towns,7-0,250,C,Kentucky,Fr.,5
D'Angelo Russell,6-4,195,PG/SG,Ohio St.,Fr.,16
Jahlil Okafor,6-11,270,C,Duke,Fr.,2
Justise Winslow,6-6,222,SG/SF,Duke,Fr.,14
Stanley Johnson,6-6,242,SF,Arizona,Fr.,4
Trey Lyles,6-10,240,PF,Kentucky,Fr.,13
Cameron Payne,6-2,185,PG,Murray St.,So.,
Myles Turner,6-11,240,C,Texas,Fr.,5
Devin Booker,6-6,205,SG,Kentucky,Fr.,95
Sam Dekker,6-9,220,SF,Wisconsin,Jr.,13
Willie Cauley-Stein,7-0,242,C,Kentucky,Jr.,39
Bobby Portis,6-11,245,PF,Arkansas,So.,17
Kelly Oubre,6-7,205,SF,Kansas,Fr.,8
Terry Rozier,6-2,190,PG,Louisville,So.,76
Montrezl Harrell,6-8,255,PF,Louisville,Jr.,81
Rashad Vaughn,6-5,200,SG,UNLV,Fr.,11
Jerian Grant,6-4,200,PG,Notre Dame,Sr.,111
Justin Anderson,6-6,230,SG/SF,Virginia,Jr.,47
Frank Kaminsky,7-1,230,C,Wisconsin,Sr.,242
Delon Wright,6-5,180,PG/SG,Utah,Sr.,261
Kevon Looney,6-9,222,PF,UCLA,Fr.,10
Chris McCullough,6-9,200,PF,Syracuse,Fr.,26
Rondae Hollis-Jefferson,6-7,210,SF,Arizona,So.,14
Norman Powell,6-4,215,SG,UCLA,Sr.,51
Tyus Jones,6-1,185,PG,Duke,Fr.,6
Jordan Mickey,6-8,240,PF,LSU,So.,38
Rakeem Christmas,6-9,245,PF/C,Syracuse,Sr.,25
Richaun Holmes,6-9,245,PF,Bowling Green,Sr.,
RJ Hunter,6-6,185,SG,Georgia St.,Jr.,
Olivier Hanlan,6-4,185,PG/SG,Boston College,Jr.,
Jarell Martin,6-9,240,PF,LSU,So.,12
Cliff Alexander,6-8,240,PF/C,Kansas,Fr.,2
Christian Wood,6-10,215,PF,UNLV,So.,48
Terran Petteway,6-6,210,SF,Nebraska,Jr.,177
Jonathan Holmes,6-9,245,PF,Texas,Sr.,86
Dakari Johnson,7-0,260,C,Kentucky,So.,9
Luis Montero,6-7,195,SG/SF,JUCO,So.,
Joseph Young,6-2,185,PG/SG,Oregon,Sr.,104
Anthony Brown,6-7,210,SG/SF,Stanford,Sr.,60
Travis Trice,6-1,170,PG,Michigan St.,Sr.,207
JP Tokoto,6-6,195,SG/SF,North Carolina,Jr.,65
Brandon Ashley,6-8,230,PF,Arizona,Jr.,17
Josh Richardson,6-6,200,SG,Tennessee,Sr.,159
Andrew Harrison,6-6,215,PG/SG,Kentucky,So.,4
Vince Hunter,6-8,210,SF/PF,UTEP,So.,129
Pat Connaughton,6-5,215,SG,Notre Dame,Sr.,113
Branden Dawson,6-7,230,SF/PF,Michigan St.,Sr.,19
Aaron White,6-9,220,SF/PF,Iowa,Sr.,
Michael Frazier,6-5,200,SG,Florida,Jr.,91
Chasson Randle,6-2,180,PG/SG,Stanford,Sr.,66
Larry Nance,6-9,230,PF,Wyoming,Sr.,
Robert Upshaw,7-0,260,C,Washington,So.,52
Bryce Dejean-Jones,6-6,205,SG,Iowa St.,Sr.,82
Ryan Boatright,5-11,170,PG,UConn,Sr.,55
Juwan Staten,6-0,190,PG,West Virginia,Sr.,65
Treveon Graham,6-6,220,SG,VCU,Sr.,
Kevin Pangos,6-2,185,PG,Gonzaga,Sr.,176
Jarvis Williams,6-7,215,PF,Murray St.,Sr.,
LeBryan Nash,6-8,232,SF/PF,Oklahoma State,Sr.,9
Michael Qualls,6-5,205,SF,Arkansas,Jr.,171
Aaron Harrison,6-6,210,SG,Kentucky,So.,6
Tashawn Thomas,6-8,240,PF,Oklahoma,Sr.,
Tyler Harvey,6-4,180,SG,Eastern Washington,Jr.,
TJ McConnell,6-2,190,PG,Arizona,Sr.,254
Dez Wells,6-4,210,SG,Maryland,Sr.,63
Chris Walker,6-10,210,PF,Florida,So.,7
Keifer Sykes,6-0,170,PG,Wisconsin Green Bay,Sr.,
Will Cummings,6-1,180,PG,Temple,Sr.,
Sir'Dominic Pointer,6-6,190,SF,St. Johns,Sr.,40
Quinn Cook,6-1,180,PG,Duke,Sr.,29
Alan Williams,6-8,260,PF/C,UC Santa Barbara,Sr.,
D'Angelo Harrison,6-3,215,SG,St. Johns,Sr.,62
Corey Hawkins,6-2,190,SG,UC Davis,Sr.,
Darrun Hilliard,6-7,220,SG,Villanova,Sr.,
Cady Lalanne,6-9,240,C,Massachusetts,Sr.,
DJ Newbill,6-4,215,SG,Penn State,Sr.,
Ralston Turner,6-6,210,SG,NC State,Sr.,109
Marcus Thornton,6-3,180,PG/SG,William & Mary,Sr.,129
Trevor Lacey,6-3,210,PG/SG,NC State,Jr.,33
Askia Booker,6-2,170,PG,Colorado,Sr.,
Derrick Marks,6-3,210,PG/SG,Boise State,Sr.,
David Kravish,6-10,240,PF,California,Sr.,183
LaDontae Henton,6-5,215,SF,Providence,Sr.,
Darion Atkins,6-8,240,PF,Virginia,Sr.,
Ben Simmons,6-10,240,SF/PF,LSU,Fr.,1
Brandon Ingram,6-9,195,SF,Duke,Fr.,4
Jaylen Brown,6-6,225,SG/SF,California,Fr.,3
Kris Dunn,6-4,220,PG,Providence,Jr.,20
Buddy Hield,6-5,215,SG,Oklahoma,Sr.,111
Marquese Chriss,6-10,235,PF,Washington,Fr.,56
Domantas Sabonis,6-10,240,PF/C,Gonzaga,So.,97
Jamal Murray,6-4,205,PG/SG,Kentucky,Fr.,45
Dejounte Murray,6-5,170,PG/SG,Washington,Fr.,43
Malik Beasley,6-5,190,SG,Florida St.,Fr.,36
Deyonta Davis,6-10,240,PF/C,Michigan St.,Fr.,28
Skal Labissiere,7-0,215,PF/C,Kentucky,Fr.,2
Damian Jones,6-11,245,C,Vanderbilt,Jr.,91
Brice Johnson,6-10,210,PF,North Carolina,Sr.,40
Jakob Poeltl,7-1,240,C,Utah,So.,
Henry Ellenson,6-11,245,PF/C,Marquette,Fr.,10
Malachi Richardson,6-6,200,SG,Syracuse,Fr.,29
Denzel Valentine,6-5,210,SG/SF,Michigan St.,Sr.,96
Caris LeVert,6-7,190,SG,Michigan,Sr.,174
Patrick McCaw,6-6,180,SG,UNLV,So.,222
Cheick Diallo,6-9,220,PF/C,Kansas,Fr.,5
Taurean Prince,6-8,220,SF,Baylor,Sr.,188
Stephen Zimmerman,6-11,235,PF/C,UNLV,Fr.,9
DeAndre Bembry,6-5,205,SG/SF,St. Joseph's,Jr.,251
Wade Baldwin,6-4,200,PG/SG,Vanderbilt,So.,120
Malcolm Brogdon,6-5,225,SG,Virginia,Sr.,87
Gary Payton,6-3,185,PG/SG,Oregon St.,Sr.,
Pascal Siakam,6-9,230,PF,New Mexico St.,So.,
Diamond Stone,6-10,255,C,Maryland,Fr.,6
Demetrius Jackson,6-1,195,PG,Notre Dame,Jr.,28
Anthony Barber,6-3,175,PG,NC State,Jr.,
Joel Bolomboy,6-9,225,PF,Weber St.,Sr.,
Michael Gbinije,6-7,205,SG/SF,Syracuse,Sr.,28
Kahlil Felder,5-9,175,PG,Oakland,Jr.,
Isaiah Whitehead,6-4,210,PG/SG,Seton Hall,So.,11
Daniel Hamilton,6-7,200,SG/SF,UConn,So.,17
Tyler Ulis,5-10,150,PG,Kentucky,So.,18
Isaiah Cousins,6-4,190,PG/SG,Oklahoma,Sr.,
Ben Bentil,6-8,230,PF,Providence,So.,87
Wayne Selden,6-5,230,SG,Kansas,Jr.,13
AJ Hammons,7-0,260,C,Purdue,Sr.,
Perry Ellis,6-8,220,PF,Kansas,Sr.,32
Zach Auguste,6-10,240,PF,Notre Dame,Sr.,110
Danuel House,6-7,215,SG/SF,Texas A&M,Sr.,28
Troy Williams,6-7,215,SF,Indiana,Jr.,50
Ron Baker,6-4,215,SG,Wichita State,Sr.,
James Webb,6-9,200,SF/PF,Boise State,Jr.,
Tyrone Wallace,6-5,205,PG/SG,California,Sr.,98
Julian Jacobs,6-4,180,PG/SG,USC,Jr.,
Derrick Jones,6-7,190,SF,UNLV,Fr.,40
Isaiah Miles,6-8,220,SF/PF,St. Joseph's,Sr.,
Dorian Finney-Smith,6-8,215,SF/PF,Florida,Sr.,22
Chris Obekpa,6-9,240,C,UNLV,Sr.,62
Marcus Paige,6-2,165,PG,North Carolina,Sr.,30
Kyle Wiltjer,6-10,245,PF,Gonzaga,Sr.,18
Isaiah Taylor,6-2,180,PG,Texas,Jr.,
Robert Carter,6-8,250,PF,Maryland,Jr.,29
Sheldon McClellan,6-6,200,SG,Miami,Sr.,42
Alex Poythress,6-8,240,PF,Kentucky,Sr.,8
Jake Layman,6-9,210,SF,Maryland,Sr.,64
Jarrod Uthoff,6-10,215,PF,Iowa,Sr.,111
Damion Lee,6-6,210,SG,Louisville,Sr.,
Josh Adams,6-2,190,PG,Wyoming,Sr.,
Georges Niang,6-8,230,SF/PF,Iowa St.,Sr.,68
Yogi Ferrell,6-0,180,PG,Indiana,Sr.,24
Kaleb Tarczewski,7-0,245,C,Arizona,Sr.,7
Tim Quarterman,6-6,190,SG,LSU,Jr.,90
Rosco Allen,6-9,220,SF,Stanford,Jr.,75
AJ English,6-3,180,PG/SG,Iona,Sr.,
Devin Thomas,6-9,250,PF,Wake Forest,Sr.,
Ryan Anderson,6-9,235,PF,Arizona,Sr.,150
Chinanu Onuaku,6-10,245,C,Louisville,So.,63
Anthony Gill,6-8,230,PF,Virginia,Sr.,82
Shawn Long,6-10,250,PF,Louisiana Lafayette,Sr.,
Jalen Jones,6-7,225,SF,Texas A&M,Sr.,
Tyler Harris,6-9,220,PF,Auburn,Sr.,132
Andrew Andrews,6-2,205,SG,Washington,Sr.,
Prince Ibeh,6-11,260,C,Texas,Sr.,63
Stefan Jankovic,6-11,235,PF,Hawaii,Jr.,
Brannen Greene,6-7,215,SG/SF,Kansas,Jr.,34
D'Vauntes Smith-Rivera,6-3,215,PG/SG,Georgetown,Sr.,37
Goodluck Okonoboh,6-10,225,C,UNLV,So.,34
Emmanuel Malou,6-9,215,SF/PF,JUCO,So.,
Josh Jackson,6-8,205,SG/SF,Kansas,Fr.,1
Markelle Fultz,6-4,190,PG,Washington,Fr.,4
Lonzo Ball,6-6,190,PG,UCLA,Fr.,5
De'Aaron Fox,6-3,170,PG,Kentucky,Fr.,6
Jonathan Isaac,6-10,210,SF/PF,Florida St.,Fr.,10
Dennis Smith,6-2,195,PG,NC State,Fr.,7
Jayson Tatum,6-8,205,SF,Duke,Fr.,3
Malik Monk,6-3,200,SG,Kentucky,Fr.,11
Zach Collins,6-11,230,C,Gonzaga,Fr.,36
Lauri Markkanen,7-0,230,PF,Arizona,Fr.,72
Luke Kennard,6-6,195,SG,Duke,So.,21
Donovan Mitchell,6-2,210,SG,Louisville,So.,32
Bam Adebayo,6-10,245,PF/C,Kentucky,Fr.,8
TJ Leaf,6-10,225,PF,UCLA,Fr.,17
Kyle Kuzma,6-9,225,PF,Utah,Jr.,187
Jarrett Allen,6-10,235,C,Texas,Fr.,18
Ivan Rabb,6-10,220,PF/C,California,So.,8
John Collins,6-9,225,PF/C,Wake Forest,So.,134
Justin Jackson,6-8,200,SF,North Carolina,Jr.,9
Harry Giles,6-10,230,PF/C,Duke,Fr.,2
Justin Patton,6-11,230,C,Creighton,Fr.,74
Cam Oliver,6-8,240,PF,Nevada,So.,
Wesley Iwundu,6-7,195,SG/SF,Kansas State,Sr.,249
Jawun Evans,6-0,185,PG,Oklahoma State,So.,26
Jordan Bell,6-8,225,PF/C,Oregon,Jr.,75
DJ Wilson,6-10,235,PF,Michigan,Jr.,123
Caleb Swanigan,6-9,250,PF/C,Purdue,So.,18
Derrick White,6-4,190,PG/SG,Colorado,Sr.,
Frank Jackson,6-3,200,PG/SG,Duke,Fr.,14
Tyler Lydon,6-9,215,PF,Syracuse,So.,71
Josh Hart,6-5,210,SG,Villanova,Sr.,97
OG Anunoby,6-7,235,SF/PF,Indiana,So.,261
Tony Bradley,6-10,250,C,North Carolina,Fr.,30
PJ Dozier,6-6,200,PG/SG,South Carolina,So.,
Sindarius Thornwell,6-5,210,SG,South Carolina,Sr.,36
Frank Mason,6-0,190,PG,Kansas,Sr.,93
Semi Ojeleye,6-6,240,SF/PF,SMU,Jr.,32
Tyler Dorsey,6-4,185,SG,Oregon,So.,24
Ike Anigbogu,6-10,250,C,UCLA,Fr.,53
Alec Peters,6-8,235,PF,Valparaiso,Sr.,
Jaron Blossomgame,6-7,220,SF,Clemson,Sr.,108
Johnathan Motley,6-9,240,PF,Baylor,Jr.,109
Dwayne Bacon,6-6,220,SG/SF,Florida St.,So.,16
Damyean Dotson,6-6,205,SG/SF,Houston,Sr.,
Sterling Brown,6-5,225,SG/SF,SMU,Sr.,128
Kadeem Allen,6-2,190,SG,Arizona,Sr.,
Edmond Sumner,6-5,175,PG/SG,Xavier,So.,140
Dillon Brooks,6-6,220,SF,Oregon,Jr.,
LJ Peak,6-4,215,SG,Georgetown,Jr.,
VJ Beachem,6-7,195,SF,Notre Dame,Sr.,
Monte Morris,6-2,175,PG,Iowa St.,Sr.,96
Charles Cooke,6-5,190,SG,Dayton,Sr.,
Kobi Simmons,6-4,170,PG/SG,Arizona,Fr.,24
Antonio Blakeney,6-4,195,SG,LSU,So.,14
Devin Robinson,6-8,190,SF/PF,Florida,Jr.,28
Nigel Williams-Goss,6-3,190,PG,Gonzaga,Jr.,37
Isaiah Hicks,6-8,235,PF,North Carolina,Sr.,15
Thomas Bryant,6-11,250,C,Indiana,So.,22
Melo Trimble,6-2,195,PG,Maryland,Jr.,27
Chance Comanche,6-11,215,PF/C,Arizona,So.,49
Davon Reed,6-6,205,SG/SF,Miami,Sr.,110
Chris Boucher,6-9,185,PF/C,Oregon,Sr.,
Jaylen Johnson,6-9,230,PF,Louisville,Jr.,67
Moses Kingsley,6-10,230,C,Arkansas,Sr.,49
Isaac Humphries,7-0,260,C,Kentucky,So.,
Bronson Koenig,6-3,190,PG,Wisconsin,Sr.,83
Jacob Wiley,6-7,215,PF,Eastern Washington,Sr.,
Andrew White,6-7,220,SF,Syracuse,Sr.,49
Peter Jok,6-5,205,SG,Iowa,Sr.,
Eric Mika,6-10,230,PF/C,BYU,So.,44
Luke Kornet,7-1,250,C,Vanderbilt,Sr.,
Isaiah Briscoe,6-2,220,PG/SG,Kentucky,So.,13
Justin Tuoyo,6-9,230,PF/C,Chattanooga,Sr.,
Jalen Moore,6-8,215,SF,Utah State,Sr.,
Kennedy Meeks,6-10,275,C,North Carolina,Sr.,54
Derrick Walton,6-0,190,PG,Michigan,Sr.,46
James Blackmon,6-3,200,SG,Indiana,Jr.,19
Zak Irvin,6-6,210,SG,Michigan,Sr.,29
Jabari Bird,6-6,200,SG,California,Sr.,22
Jamel Artis,6-7,215,SF,Pittsburgh,Sr.,192
Nigel Hayes,6-7,255,PF,Wisconsin,Sr.,154
Landen Lucas,6-10,240,C,Kansas,Sr.,138
Xavier Rathan-Mayes,6-3,210,PG/SG,Florida St.,Jr.,40
Austin Nichols,6-9,235,PF,Virginia,Jr.,20
Tyler Roberson,6-8,225,PF,Syracuse,Sr.,45
Amida Brimah,6-11,230,C,UConn,Sr.,240
Deandre Ayton,7-0,260,C,Arizona,Fr.,3
Marvin Bagley,6-11,235,PF,Duke,Fr.,1
Jaren Jackson,6-11,235,PF/C,Michigan St.,Fr.,9
Trae Young,6-2,180,PG,Oklahoma,Fr.,21
Wendell Carter,6-10,250,C,Duke,Fr.,5
Michael Porter,6-11,210,SF,Missouri,Fr.,2
Mikal Bridges,6-7,210,SG/SF,Villanova,Jr.,94
Mohamed Bamba,7-0,225,C,Texas,Fr.,4
Shai Gilgeous-Alexander,6-6,180,PG,Kentucky,Fr.,33
Jerome Robinson,6-5,190,SG,Boston College,Jr.,308
Donte DiVincenzo,6-5,200,SG,Villanova,So.,107
Zhaire Smith,6-4,200,SG,Texas Tech,Fr.,223
Collin Sexton,6-2,185,PG,Alabama,Fr.,7
Kevin Knox,6-9,215,SF/PF,Kentucky,Fr.,10
Lonnie Walker,6-5,195,SG,Miami,Fr.,16
Kevin Huerter,6-7,195,SG,Maryland,So.,63
Miles Bridges,6-6,220,SF/PF,Michigan St.,So.,12
Robert Williams,6-9,240,PF/C,Texas A&M,So.,64
Troy Brown,6-7,210,SG,Oregon,Fr.,12
Khyri Thomas,6-4,200,SG,Creighton,Jr.,
Gary Trent,6-5,205,SG,Duke,Fr.,18
Grayson Allen,6-4,200,SG,Duke,Sr.,24
Chandler Hutchison,6-7,195,SG/SF,Boise State,Sr.,106
Mitchell Robinson,7-1,225,C,USA,Fr.,8
Aaron Holiday,6-1,185,PG,UCLA,Jr.,53
Moritz Wagner,6-11,240,PF/C,Michigan,Jr.,113
Josh Okogie,6-4,210,SG/SF,Georgia Tech,So.,222
Jacob Evans,6-5,200,SG/SF,Cincinnati,Jr.,125
Landry Shamet,6-5,190,PG/SG,Wichita State,So.,171
Jalen Brunson,6-2,200,PG,Villanova,Jr.,19
De'Anthony Melton,6-3,195,PG/SG,USC,So.,223
Omari Spellman,6-9,255,PF/C,Villanova,Fr.,20
Keita Bates-Diop,6-8,225,SF/PF,Ohio St.,Jr.,25
Melvin Frazier,6-6,200,SG/SF,Tulane,Jr.,186
Rawle Alkins,6-4,220,SG,Arizona,So.,19
Jarred Vanderbilt,6-9,215,SF,Kentucky,Fr.,15
Trevon Duval,6-3,190,PG,Duke,Fr.,6
Brandon McCoy,7-1,250,C,UNLV,Fr.,13
Alize Johnson,6-8,215,PF,Missouri State,Sr.,
Chimezie Metu,6-10,220,PF/C,USC,Jr.,38
Ray Spalding,6-10,215,PF,Louisville,Jr.,42
Sviatoslav Mykhailiuk,6-8,210,SG,Kansas,Sr.,
Keenan Evans,6-3,185,PG/SG,Texas Tech,Sr.,292
Bruce Brown,6-5,195,SG,Miami,So.,28
Shake Milton,6-6,205,PG/SG,SMU,Jr.,84
Hamidou Diallo,6-5,195,SG,Kentucky,Fr.,11
Kevin Hervey,6-8,215,SF/PF,Texas Arlington,Sr.,253
Jevon Carter,6-1,195,PG,West Virginia,Sr.,299
Tony Carr,6-4,200,PG,Penn State,So.,49
Justin Jackson,6-7,230,SF/PF,Maryland,So.,9
Kenrich Williams,6-7,200,SF,TCU,Sr.,
Kelan Martin,6-6,230,SF/PF,Butler,Sr.,121
Malik Newman,6-4,190,SG,Kansas,So.,7
Devonte Graham,6-1,185,PG,Kansas,Sr.,68
Yante Maten,6-8,245,PF,Georgia,Sr.,186
Jaylen Barford,6-2,205,SG,Arkansas,Sr.,
Rob Gray,6-1,185,PG/SG,Houston,Sr.,
Allonzo Trier,6-5,200,SG,Arizona,Jr.,12
DJ Hogg,6-8,220,SF/PF,Texas A&M,Jr.,
Dikembe Dixson,6-7,200,SF,Illinois-Chicago,Sr.,227
JP Macura,6-5,205,SG,Xavier,Sr.,
Tyler Davis,6-10,270,C,Texas A&M,Jr.,27
Isaac Haas,7-2,300,C,Purdue,Sr.,82
Jaylen Adams,6-2,190,PG/SG,St. Bonaventure,Sr.,
Gary Clark,6-7,220,PF,Cincinnati,Sr.,147
Vince Edwards,6-8,225,SF,Purdue,Sr.,141
Devon Hall,6-5,205,PG/SG,Virginia,Sr.,94
George King,6-6,220,SF,Colorado,Sr.,
Bonzie Colson,6-5,225,SF/PF,Notre Dame,Sr.,136
Johnathan Williams,6-8,225,PF,Gonzaga,Sr.,41
Deng Adel,6-7,200,SF,Louisville,Jr.,34
Kendall Stephens,6-7,205,SG/SF,Nevada,Sr.,64
Joel Berry,6-0,195,PG,North Carolina,Sr.,22
Theo Pinson,6-6,210,SG,North Carolina,Sr.,15
Donte Grantham,6-8,215,SF/PF,Clemson,Sr.,86
Tra Holder,6-1,180,PG,Arizona St.,Sr.,122
Kostas Antetokounmpo,6-10,195,SF/PF,Dayton,Fr.,88
Thomas Wilder,6-3,190,PG,Western Michigan,Sr.,
Jo Lual-Acuil,7-0,225,C,Baylor,Sr.,
Malik Pope,6-9,220,PF,San Diego St.,Sr.,58
Ajdin Penava,6-9,220,PF,Marshall,Jr.,
Wenyen Gabriel,6-9,205,SF/PF,Kentucky,So.,15
Jared Terrell,6-3,215,SG,Rhode Island,Sr.,65
Marcus Foster,6-2,215,PG/SG,Creighton,Sr.,219
Muhammad-Ali Abdur-Rahkman,6-4,190,SG,Michigan,Sr.,
Trevon Bluiett,6-5,215,SG,Xavier,Sr.,37
Kyle Washington,6-9,240,PF,Cincinnati,Sr.,103
Chris Chiozza,6-0,175,PG,Florida,Sr.,44
Anas Mahmoud,7-0,215,C,Louisville,Sr.,102
Jock Landale,6-11,255,C,St. Mary's,Sr.,
Kendrick Nunn,6-3,190,SG,Oakland,Sr.,55
Zion Williamson,6-6,280,PF,Duke,Fr.,5
Ja Morant,6-3,175,PG,Murray St.,So.,
RJ Barrett,6-7,210,SG,Duke,Fr.,1
Coby White,6-5,190,PG/SG,North Carolina,Fr.,21
Rui Hachimura,6-8,235,SF/PF,Gonzaga,Jr.,152
DeAndre Hunter,6-7,225,SF/PF,Virginia,So.,80
Darius Garland,6-2,175,PG,Vanderbilt,Fr.,13
Nassir Little,6-6,225,SF,North Carolina,Fr.,4
Keldon Johnson,6-6,215,SG/SF,Kentucky,Fr.,12
Bruno Fernando,6-10,240,C,Maryland,So.,175
Jaxson Hayes,6-11,220,PC,Texas,Fr.,126
Jarrett Culver,6-6,195,SG,Texas Tech,So.,300
Mfiondu Kabengele,6-10,255,C,Florida St.,So.,270
Matisse Thybulle,6-6,200,SG/SF,Washington,Sr.,116
Cameron Reddish,6-8,210,SG/SF,Duke,Fr.,2
Romeo Langford,6-6,210,SG,Indiana,Fr.,6
Nickeil Alexander-Walker,6-5,205,SG,Virginia Tech,So.,34
PJ Washington,6-8,230,PF,Kentucky,So.,14
Nicolas Claxton,6-11,215,PF,Georgia,So.,231
Bol Bol,7-2,210,C,Oregon,Fr.,3
Brandon Clarke,6-8,210,PF/C,Gonzaga,Jr.,
KZ Okpala,6-8,210,SG/SF,Stanford,So.,45
Chuma Okeke,6-8,235,SF/PF,Auburn,So.,46
Tyler Herro,6-6,195,SG,Kentucky,Fr.,40
Eric Paschall,6-7,255,PF,Villanova,Sr.,136
Dylan Windler,6-7,195,SG/SF,Belmont,Sr.,
Cameron Johnson,6-8,205,SF,North Carolina,Sr.,
Naz Reid,6-10,255,C,LSU,Fr.,15
Ty Jerome,6-5,195,PG,Virginia,Jr.,47
Louis King,6-8,195,SF,Oregon,Fr.,17
Daniel Gafford,6-10,240,PF/C,Arkansas,So.,36
Kevin Porter,6-5,215,SG/SF,USC,Fr.,32
Carsen Edwards,6-0,200,PG,Purdue,Jr.,106
Jalen McDaniels,6-9,190,SF/PF,San Diego St.,So.,159
Ky Bowman,6-2,180,PG,Boston College,Jr.,
Terance Mann,6-6,205,SG,Florida St.,Sr.,97
DaQuan Jeffries,6-5,215,SF,,Sr.,
Jordan Bone,6-3,180,PG,Tennessee,Jr.,144
Justin Wright-Foreman,6-2,190,PG/SG,Hofstra,Sr.,
Grant Williams,6-7,240,PF,Tennessee,Jr.,207
Jaylen Nowell,6-4,200,PG/SG,Washington,So.,63
Zylan Cheatham,6-8,220,SF/PF,Arizona St.,Sr.,76
Terence Davis,6-4,190,PG/SG,Mississippi,Sr.,211
Oshae Brissett,6-8,205,SF,Syracuse,So.,137
Jontay Porter,6-11,210,PF/C,Missouri,So.,25
Jaylen Hoard,6-8,215,SF/PF,Wake Forest,Fr.,26
Kenny Wooten,6-9,230,PF/C,Oregon,So.,134
Isaiah Roby,6-8,215,SF/PF,Nebraska,Jr.,149
Marial Shayok,6-6,195,SG/SF,Iowa St.,Sr.,125
Zach Norvell,6-6,205,SG,Gonzaga,So.,107
Jaylen Hands,6-3,180,PG,UCLA,So.,23
Tacko Fall,7-6,290,C,Central Florida,Sr.,150
Kyle Guy,6-2,170,PG/SG,Virginia,Jr.,34
Simi Shittu,6-10,230,PF,Vanderbilt,Fr.,7
Tyler Cook,6-8,245,PF,Iowa,Jr.,74
Talen Horton-Tucker,6-4,235,SG/SF,Iowa St.,Fr.,67
Luguentz Dort,6-4,220,SG,Arizona St.,Fr.,79
Charlie Brown,6-7,200,SG,St. Joseph's,So.,
Lindell Wigginton,6-2,190,PG,Iowa St.,So.,40
Miye Oni,6-5,205,SG,Yale,Jr.,
Admiral Schofield,6-5,240,SF,Tennessee,Sr.,341
Tyus Battle,6-6,205,SG,Syracuse,Jr.,33
