Name,Height,Weight,Position,School,Class,RSCI
Dominique Jones,6-4,216,SG,South Florida,Jr.,
Terrico White,6-5,203,PG/SG,Mississippi,So.,132
Eric Bledsoe,6-1,192,PG/SG,Kentucky,Fr.,55
Larry Sanders,6-10,222,PF/C,VCU,Jr.,
Damion James,6-7,227,SF,Texas,Sr.,16
Stanley Robinson,6-8,213,SF,UConn,Sr.,19
Willie Warren,6-4,208,PG/SG,Oklahoma,So.,14
Lance Stephenson,6-6,227,SG,Cincinnati,Fr.,7
Quincy Pondexter,6-7,215,SF,Washington,Sr.,27
Jordan Crawford,6-4,198,SG,Xavier,So.,
Trevor Booker,6-7,236,PF,Clemson,Sr.,
Dwayne Collins,6-8,241,PF,Miami,Sr.,116
Lazar Hayward,6-6,226,SF,Marquette,Sr.,107
Tiny Gallon,6-9,296,PF,Oklahoma,Fr.,12
Jerome Jordan,7-1,244,C,Tulsa,Sr.,
Solomon Alabi,7-1,237,C,Florida St.,So.,25
Da'Sean Butler,6-7,225,SF,West Virginia,Sr.,99
Greivis Vasquez,6-6,211,PG/SG,Maryland,Sr.,93
Manny Harris,6-5,185,SG,Michigan,Jr.,43
Mikhail Torrance,6-5,209,PG/SG,Alabama,Sr.,
Mac Koshwal,6-9,250,PF,DePaul,Jr.,46
Jarvis Varnado,6-9,210,PF,Mississippi St.,Sr.,77
Art Parakhouski,6-11,268,C,Radford,Sr.,
Matt Bouldin,6-5,214,PG/SG,Gonzaga,Sr.,65
Samardo Samuels,6-8,245,PF,Louisville,So.,4
Darington Hobson,6-6,204,SF,New Mexico,Jr.,130
Denis Clemente,6-0,175,PG,Kansas State,Sr.,95
Marquis Gilstrap,6-7,215,SF,Iowa St.,Sr.,
Hamady Ndiaye,7-0,240,C,Rutgers,Sr.,
Charles Garcia,6-9,232,SF/PF,Seattle,Jr.,
Landon Milbourne,6-7,207,SF,Maryland,Sr.,
Luke Harangody,6-7,240,SF/PF,Notre Dame,Sr.,83
Sherron Collins,5-11,217,PG,Kansas,Sr.,15
Andy Rautins,6-5,192,SG,Syracuse,Sr.,
AJ Ogilvy,6-10,250,C,Vanderbilt,Jr.,
Dexter Pittman,6-11,303,C,Texas,Sr.,82
Michael Washington,6-10,239,PF,Arkansas,Sr.,43
Derrick Caracter,6-9,280,PF,UTEP,Jr.,18
Jerome Dyson,6-3,180,SG,UConn,Sr.,37
