Season,Year,RSCI,First Name,Last Name,Conference,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,AST/TO%,OWS,DWS,WS,WS/40,WS/40 * BPM,OBPM,DBPM,BPM,FT%,3PT%,3PT Confidence,FG% on 2PT Jumpers,% 2PT Jumpers Assisted,Shooting%,FG% at Rim,% at Rim Assisted,Finishing%,Offensive Self Creation
2017-18,1,7,Collin,Sexton,SEC,33,32,987,23.5,0.567,0.498,0.299,0.575,622,4.1,9.8,7,27.8,1.6,0.3,14.2,32.9,1.29,3.2,1.2,4.4,0.177,1.1505,6.5,0,6.5,77.8,33.6,10.0464,36.4,5.5,31.78,62.2,24.7,22.69,56.66
2017-18,3,19,Jalen,Brunson,Big East,40,40,1272,26.1,0.635,0.604,0.407,0.313,745,1.2,9.7,5.7,26.6,1.7,0.1,10.7,26.4,2.59,6,1.7,7.7,0.241,2.3377,8.7,0.9,9.7,80.2,40.8,16.6056,51.5,3.4,48.2,70.3,21.6,26.7,101.7
2017-18,1,21,Trae,Young,Big 12,32,32,1133,28.3,0.586,0.519,0.53,0.444,934,1.3,10,5.8,48.5,2.5,0.7,18.3,37.1,1.66,4.7,1,5.7,0.201,2.3517,11.2,0.5,11.7,86.1,36.1,19.133,39.8,2.9,42.84,53.5,11.1,23.04,77.35
2017-18,3,354,Khyri,Thomas,Big East,33,33,1046,21.8,0.65,0.629,0.442,0.249,474,4,11,7.7,15.1,2.9,0.8,13.4,21,1.56,3.1,1.7,4.8,0.183,1.7568,6.5,3.1,9.6,78.8,41.1,18.1662,44,24.3,35.33,79.4,36.5,24.43,67.85
2017-18,3,171,Landry,Shamet,AAC,32,32,1015,21.4,0.655,0.622,0.603,0.327,476,1.6,9.7,5.8,28.8,1.3,0.7,15.5,20.7,2.48,3.8,1.1,4.9,0.195,1.599,8.3,0,8.2,82.5,44.2,26.6526,37.5,9.5,41.32,71,55.1,15.44,52.81
2017-18,2,45,Shamorie,Ponds,Big East,30,30,1110,23.7,0.523,0.464,0.347,0.326,656,3.6,11.6,7.6,28.9,3.5,0.3,11.7,31.7,1.73,2.5,1.7,4.3,0.154,1.1088,5.7,1.5,7.2,85.7,25.3,8.7791,40.4,9.5,35.72,59.3,18.3,23.47,66.34
2017-18,4,65,Devonte,Graham,Big 12,39,39,1474,21.2,0.568,0.51,0.544,0.406,770,2,9.6,6,31.4,2.4,0.1,15.5,23.9,2.59,4.9,1.8,6.7,0.182,1.5288,7,1.4,8.4,82.7,40.6,22.0864,34.2,5.3,37.83,44,3.9,20.49,63.32
2017-18,4,299,Jevon,Carter,Big 12,37,37,1281,24.9,0.549,0.498,0.385,0.305,686,2.4,13.1,7.5,36.2,4.9,1.3,14.4,25.1,2.61,4.3,2.7,7,0.219,2.7594,8.1,4.5,12.6,85.8,39.3,15.1305,39.6,15.3,36.34,50.4,21.2,19.24,57.66
2017-18,3,53,Aaron,Holiday,Pac-12,33,33,1244,21.1,0.609,0.557,0.446,0.417,686,1.6,8.7,5.3,29.9,1.9,0.7,18.5,26.7,1.54,3.7,1.2,4.9,0.157,0.9734,6.3,-0.1,6.2,82.8,42.9,19.1334,38.2,6.4,39.17,58.3,10.4,25.31,77.43
2017-18,1,6,Trevon,Duval,ACC,37,34,1100,13.7,0.489,0.473,0.309,0.257,449,2.1,4.9,3.6,30.3,2.8,0.5,20.8,21.3,2.03,1.5,1.5,3,0.108,0.3456,1.7,1.5,3.2,59.6,29,8.961,36.5,6.5,24.82,55.8,22.1,21.06,43.26
2017-18,3,302,Tookie,Brown,Sun Belt,32,29,1035,28.3,0.648,0.603,0.292,0.66,599,2,11.5,6.6,28.6,3.1,1.1,14.6,25.6,1.71,4.5,1.9,6.4,0.247,1.9513,7.3,0.7,7.9,75.3,47.1,13.7532,39.3,1,36.17,64.1,9.3,28.17,79.84
