Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS,Tensorflow,LogReg,GBM
Cameron Thomas,2020-21,76,210,SG,LSU,1,25.0,29,29,986,24.0,0.5529999999999999,0.474,0.418,0.44,600.0,2.0,8.2,5.2,8.3,1.4,0.7,7.5,31.6,4.0,0.5,4.5,0.183,7.1,-0.8,6.3,117.9,109.4,0.86,?,?,?,?,?,?,?,0.44278735,1,0
Ochai Agbaji,2020-21,77,210,SG,Kansas,3,132.0,30,30,1010,17.1,0.552,0.534,0.593,0.21100000000000002,386.0,3.2,9.0,6.1,10.9,1.9,1.5,9.6,21.0,2.3,1.5,3.8,0.15,4.4,2.3,6.7,113.0,100.1,1.37,?,?,?,?,?,?,?,4.9608974e-05,0,0
Quentin Grimes,2020-21,77,205,SG,Houston,3,10.0,28,28,911,23.8,0.561,0.53,0.5760000000000001,0.263,454.0,5.7,14.5,10.1,11.7,2.5,1.1,10.6,27.2,3.5,2.4,5.9,0.258,8.1,2.8,10.9,120.2,88.4,1.0,?,?,?,?,?,?,?,0.6680392,0,1
RJ Nembhard,2020-21,77,200,PG/SG,TCU,3,132.0,24,24,837,15.4,0.508,0.45799999999999996,0.341,0.33799999999999997,377.0,1.7,12.6,7.2,25.8,1.8,0.6,18.8,28.3,0.8,0.6,1.5,0.071,1.6,-0.6,1.0,96.8,107.3,1.12,?,?,?,?,?,?,?,0.0008997023,0,0
Allen Flanigan,2020-21,78,215,SG/SF,Auburn,2,298.0,27,27,821,17.0,0.588,0.537,0.485,0.466,372.0,3.6,15.5,9.7,18.9,1.6,0.6,21.4,23.6,1.7,0.8,2.5,0.121,2.9,0.8,3.7,107.1,105.0,0.88,?,?,?,?,?,?,?,0.0060165524,0,0
Davion Mitchell,2020-21,74,205,PG,Baylor,3,59.0,27,27,891,22.2,0.638,0.631,0.48200000000000004,0.217,398.0,1.7,7.7,4.7,26.6,3.5,1.3,18.7,20.1,3.1,1.8,4.9,0.22,6.2,3.7,10.0,123.7,95.0,2.07,?,?,?,?,?,?,?,0.15189904,1,1
Joel Ayayi,2020-21,77,180,PG/SG,Gonzaga,3,88.2103487064117,28,27,864,21.1,0.664,0.643,0.36200000000000004,0.25,346.0,6.7,19.2,13.4,13.2,2.0,0.6,13.8,15.9,3.0,1.9,4.9,0.225,6.6,3.3,9.9,132.3,92.8,2.0,?,?,?,?,?,?,?,1.7306738e-05,1,1
NahShon Hyland,2020-21,75,175,PG,VCU,2,81.0,24,24,766,23.7,0.596,0.5489999999999999,0.547,0.321,408.0,0.7,16.3,8.9,16.0,3.5,0.6,15.9,31.8,2.0,1.8,3.8,0.201,5.5,2.7,8.2,107.8,91.2,0.68,?,?,?,?,?,?,?,0.0003105998,1,0
Drew Timme,2020-21,82,235,C,Gonzaga,2,43.0,28,28,772,33.0,0.6779999999999999,0.664,0.059000000000000004,0.5539999999999999,503.0,11.1,19.2,15.5,13.7,1.3,2.7,11.0,26.7,4.5,1.7,6.2,0.321,9.3,2.7,11.9,134.8,92.8,1.29,?,?,?,?,?,?,?,0.00035253167,1,1
Franz Wagner,2020-21,81,220,SF,Michigan,2,114.0,26,26,818,22.8,0.604,0.5660000000000001,0.39,0.295,324.0,2.9,19.1,11.8,17.3,2.4,3.2,11.0,19.8,2.6,1.8,4.4,0.215,6.3,5.9,12.2,123.7,93.3,2.26,?,?,?,?,?,?,?,2.0504844e-05,1,1
DayRon Sharpe,2020-21,83,265,PF,UNC,1,15.0,29,4,556,25.4,0.521,0.519,0.009000000000000001,0.46799999999999997,281.0,18.1,23.8,20.9,15.4,2.3,5.1,17.8,26.3,1.1,1.2,2.3,0.16899999999999998,4.3,3.2,7.5,104.8,93.0,0.74,?,?,?,?,?,?,?,0.0021889508,1,0
