Name,NBA 3P%
Jamal Shead,29.7
Devin Carter,30.1
Reed Sheppard,35.4
Rob Dillingham,35.0
Isaiah Collier,31.5
Zach Edey,30.0
Donovan Clingan,28.4
DaRon Holmes,29.1
Terrence Shannon Jr.,29.1
Dalton Knecht,30.3
Kyle Filipowski,30.3
Jared McCain,34.2
Kelel Ware,27.8
Ryan Dunn,27.5
Tristan Da Silva,31.9
Jaylon Tyson,30.1
Stephon Castle,33.1
Cody Williams,30.5
