Season,Year,RSCI,First Name,Last Name,Conference,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,AST/TO%,OWS,DWS,WS,WS/40,WS/40 * BPM,OBPM,DBPM,BPM,FT%,3PT%,3PT Confidence,FG% on 2PT Jumpers,% 2PT Jumpers Assisted,Shooting%,FG% at Rim,% at Rim Assisted,Finishing%,Offensive Self Creation
2017-18,1,9,Jaren,Jackson Jr.,Big Ten,35,34,764,26.9,0.647,0.595,0.414,0.573,347,8.8,19.7,15,9.3,1.6,14.3,17.4,23.5,0.63,2.3,2.2,4.6,0.239,3.6806,5.1,10.3,15.4,79.5,44.3,18.3402,40.6,61.5,21.6,65.4,47.1,16.76,28.41
2017-18,1,25,Jontay,Porter,SEC,33,7,808,21.7,0.567,0.521,0.462,0.437,341,7.7,23.2,16,19.6,2.1,7.3,18,22.5,1.17,1.8,1.9,3.6,0.179,1.9869,3.6,7.5,11.1,75,36.4,16.8168,45.5,22.5,34.86,60,45.8,15.75,43.52
2017-18,1,5,Wendell,Carter Jr.,ACC,37,37,993,28.2,0.628,0.591,0.144,0.527,501,12.8,23.2,18.4,13,1.7,7.6,15.8,22.8,0.99,3.6,2.3,6,0.24,3.24,6,7.5,13.5,73.8,41.3,5.9472,36.8,42.9,18.48,70.2,62.4,12.79,19.71
2017-18,1,15,Jarred,Vanderbilt,SEC,14,0,238,21.6,0.476,0.426,0.015,0.559,103,23.1,27.9,25.7,10.7,1.4,5.3,14.8,20.8,0.93,0.5,0.5,1,0.172,1.3416,2.6,5.2,7.8,63.2,0,0,22.6,28.6,10.2,61.1,40.9,17.49,15.24
2017-18,3,354,Ajdin,Penava,CUSA,34,34,1001,27.5,0.643,0.61,0.285,0.453,509,7.5,22,15.2,12.6,1.7,11.4,14,22.8,0.99,3.1,2.1,5.2,0.209,1.881,2.6,6.5,9,75.3,34,9.69,42.6,55.2,19.22,73.7,65.1,12.46,19.94
2017-18,2,64,Robert,Williams,SEC,30,23,769,25.4,0.614,0.632,0.055,0.318,296,10.2,26.8,18.9,10.8,1.8,10,17,19,0.83,1.5,2,3.5,0.183,2.1411,2.5,9.2,11.7,47.1,0,0,40,31.2,12.96,83.6,69.2,12.47,13.78
2017-18,3,113,Moritz,Wagner,Big Ten,39,39,1078,24.7,0.619,0.605,0.391,0.264,499,6.5,24.8,15.7,6.7,2.1,2,10.8,25.9,0.59,3.1,2.6,5.7,0.213,1.7253,4.5,3.6,8.1,69.4,39.4,15.4054,37.7,37.5,24.06,79,62.8,14.24,26.88
2017-18,4,159,Ethan,Happ,Big Ten,33,33,1017,29.3,0.538,0.529,0.024,0.417,604,9.7,24.7,16.9,33.3,3,3.8,14.5,34.9,1.31,2.7,1.9,4.6,0.18,2.106,5.3,6.4,11.7,55,9.1,0.2184,39.7,34.5,14.41,60.8,37.7,18.35,22.45
2017-18,1,13,Brandon,McCoy,MWC,33,33,949,25.2,0.59,0.548,0.024,0.505,514,12.8,25.2,19.5,3.5,0.9,5.7,15.5,27.5,0.2,2.4,1.6,4,0.171,0.1197,-0.1,0.8,0.7,72.5,33.3,0.7992,36.6,73.2,7.51,67.7,67.1,10.79,6.48
2017-18,2,20,Omari,Spellman,Big East,40,39,1125,20.6,0.588,0.573,0.446,0.208,425,9.9,23.1,16.8,4.3,1.3,5.5,9.8,18.3,0.75,2.9,2.2,5.2,0.184,1.564,3.9,4.6,8.5,70,43.3,19.3118,42.2,44.7,25.99,59.4,45.6,15.65,32.01
2016-17,2,134,John,Collins,ACC,33,33,878,35.9,0.658,0.622,0.003,0.585,579,16.4,25.6,21.1,4.5,1.3,6.6,11.1,29.9,0.28,4.6,1,5.6,0.256,2.0224,6.6,1.3,7.9,74.5,0,0,44.8,60.9,13.05,74.7,68.5,11.4,11.72
2016-17,1,36,Zach,Collins,WCC,39,0,673,30.9,0.703,0.676,0.101,0.715,360,12,23.2,18.3,4.4,1.5,9.8,17.8,24.8,0.27,2.6,2.4,5,0.298,3.427,4,7.5,11.5,74.3,47.6,4.8076,55.6,48,23.89,70.9,66,11.68,21.47
2016-17,1,18,Jarrett,Allen,Big 12,33,33,1061,20.2,0.571,0.566,0.022,0.472,427,10.9,18.9,15,5.5,1,5,17.8,22.6,0.32,1.5,1.7,3.3,0.123,0.6765,0.8,4.6,5.5,56.4,0,0,47.7,42.2,15.55,71.1,57.3,14.71,17.8
2016-17,2,74,Justin,Patton,Big East,35,34,885,25.3,0.671,0.689,0.051,0.294,406,8,19,13.8,8.5,1.9,5.9,15.1,22,0.68,2.5,1.8,4.3,0.195,2.067,4.4,6.2,10.6,51.7,53.3,2.7183,32.9,37.5,11.99,80.8,72,10.96,11.22
2016-17,1,8,Bam,Adebayo,SEC,38,38,1145,22,0.624,0.599,0,0.831,489,11.2,17.2,14.2,4.7,1.2,4.9,13.9,18.5,0.5,3.3,2.3,5.6,0.196,1.862,4.2,5.3,9.5,65.3,0,0,31.1,65.6,6.99,76.2,71,10.71,6.61
2016-17,3,119,Jordan,Bell,Pac-12,39,38,1124,26.3,0.658,0.641,0.052,0.435,446,12.3,22.3,17.6,11.4,2.5,8.4,18.8,18,0.93,3.2,3,6.2,0.222,3.0192,4.6,9,13.6,70.1,21.4,1.1128,49.2,25.8,26.15,71.4,52.6,16.4,34.02
