Name,Season,Height,Weight,Position,School,Class,RSCI
Johnny OBryant,2013-14,80,257,PF/C,LSU,3,40
Markel Brown,2013-14,76,185,SG,Oklahoma State,4,142
DeAndre Daniels,2013-14,80,195,SF,UConn,3,18
Nick Johnson,2013-14,75,198,SG,Arizona,3,25
Dwight Powell,2013-14,83,235,PF,Stanford,4,34
Semaj Christon,2013-14,75,186,PG,Xavier,2,31
Khem Birch,2013-14,81,209,PF,UNLV,3,14
Mitch McGary,2013-14,82,266,C,Michigan,2,28
Jabari Brown,2013-14,76,215,SG,Missouri,3,17
James Michael McAdoo,2013-14,81,230,PF,UNC,3,7
Cameron Bairstow,2013-14,82,252,PF,New Mexico,4,400
Deonte Burton,2013-14,73,193,PG/SG,Nevada,4,229
CJ Fair,2013-14,80,218,SF,Syracuse,4,81
Cory Jefferson,2013-14,81,220,PF,Baylor,4,67
Alec Brown,2013-14,85,231,PF/C,Wisconsin Green Bay,4,400
Ronald Roberts,2013-14,80,215,PF,St. Joseph's,4,231
DeAndre Kane,2013-14,76,200,PG/SG,Iowa State,4,400
Tarik Black,2013-14,81,260,PF/C,Kansas,4,62
Patric Young,2013-14,82,247,PF/C,Florida,4,18
Juvonte Reddic,2013-14,81,250,PF/C,VCU,4,176
Fuquan Edwin,2013-14,78,210,SG/SF,Seton Hall,4,162
Andre Dawkins,2013-14,77,205,SG,Duke,4,31
Sean Kilpatrick,2013-14,76,220,SG,Cincinnati,4,341
Jahii Carson,2013-14,71,180,PG,Arizona State,2,32
Kendall Williams,2013-14,75,183,PG,New Mexico,4,149
Roy Devyn,2013-14,78,192,SG,Iowa,4,200
Keith Appling,2013-14,73,180,PG/SG,Michigan State,4,37
Xavier Thames,2013-14,75,187,PG/SG,San Diego State,4,121
Jordan Bachynski,2013-14,86,248,C,Arizona State,4,288
Casey Prather,2013-14,77,200,SG,Florida,4,52
LaQuinton Ross,2013-14,80,240,SF,Ohio State,3,44
Justin Cobbs,2013-14,74,190,PG,California,4,216
Russ Smith,2013-14,73,160,PG/SG,Louisville,4,282
Eric Moreland,2013-14,82,225,PF/C,Oregon State,3,252
Akil Mitchell,2013-14,81,230,PF,Virginia,4,236
Jordan McRae,2013-14,77,180,SG,Tennessee,4,41
Geron Johnson,2013-14,75,203,SG,Memphis,4,154
Lamar Patterson,2013-14,77,225,SG/SF,Pitt,4,99
Melvin Ejim,2013-14,78,220,SF/PF,Iowa State,4,189
Jerrelle Benimon,2013-14,80,245,PF,Towson,4,316
Roscoe Smith,2013-14,81,202,PF,UNLV,3,31
Brendan Lane,2013-14,81,235,PF,Pepperdine,4,64
Richard Solomon,2013-14,83,225,PF/C,California,4,98
Scottie Wilbekin,2013-14,75,170,PG,Florida,4,250
Cameron Clark,2013-14,78,210,SF,Oklahoma,4,33
Talib Zanna,2013-14,80,230,PF,Pitt,4,135
Devin Oliver,2013-14,79,225,SF,Dayton,4,202
Sim Bhullar,2013-14,89,360,C,New Mexico State,2,140
Joe Jackson,2013-14,72,170,PG,Memphis,4,20
Roberto Nelson,2013-14,75,195,PG/SG,Oregon State,4,77
Aaron Craft,2013-14,74,192,PG,Ohio State,4,91
Bryce Cotton,2013-14,72,165,PG,Providence,4,400
Alex Kirk,2013-14,82,252,C,New Mexico,3,88
Jamil Wilson,2013-14,79,220,SF,Marquette,4,50
Karl-Anthony Towns,2014-15,84,250,C,Kentucky,1,5
DAngelo Russell,2014-15,76,195,PG/SG,Ohio State,1,16
Jahlil Okafor,2014-15,83,270,C,Duke,1,1
Justise Winslow,2014-15,78,222,SG/SF,Duke,1,13
Stanley Johnson,2014-15,78,242,SF,Arizona,1,3
Trey Lyles,2014-15,82,240,PF,Kentucky,1,12
Cameron Payne,2014-15,74,185,PG,Murray State,2,359
Myles Turner,2014-15,83,240,C,Texas,1,6
Devin Booker,2014-15,78,205,SG,Kentucky,1,22
Sam Dekker,2014-15,81,220,SF,Wisconsin,3,12
Willie Cauley-Stein,2014-15,84,242,C,Kentucky,3,43
Bobby Portis,2014-15,83,245,PF,Arkansas,2,17
Kelly Oubre,2014-15,79,205,SF,Kansas,1,7
Terry Rozier,2014-15,74,190,PG,Louisville,2,30
Montrezl Harrell,2014-15,80,255,PF,Louisville,3,81
Rashad Vaughn,2014-15,77,200,SG,UNLV,1,10
Jerian Grant,2014-15,76,200,PG,Notre Dame,4,111
Justin Anderson,2014-15,78,230,SG/SF,Virginia,3,50
Frank Kaminsky,2014-15,85,230,C,Wisconsin,4,242
Delon Wright,2014-15,77,180,PG/SG,Utah,4,159
Kevon Looney,2014-15,81,222,PF,UCLA,1,11
Chris McCullough,2014-15,81,200,PF,Syracuse,1,21
Rondae Hollis-Jefferson,2014-15,79,210,SF,Arizona,2,15
Norman Powell,2014-15,76,215,SG,UCLA,4,53
Tyus Jones,2014-15,73,185,PG,Duke,1,8
Jordan Mickey,2014-15,80,240,PF,LSU,2,38
Rakeem Christmas,2014-15,81,245,PF/C,Syracuse,4,23
Richaun Holmes,2014-15,81,245,PF,Bowling Green,4,400
RJ Hunter,2014-15,78,185,SG,Georgia State,3,283
Olivier Hanlan,2014-15,76,185,PG/SG,Boston College,3,211
Jarell Martin,2014-15,81,240,PF,LSU,2,12
Cliff Alexander,2014-15,80,240,PF/C,Kansas,1,4
Christian Wood,2014-15,82,215,PF,UNLV,2,49
Terran Petteway,2014-15,78,210,SF,Nebraska,3,167
Jonathan Holmes,2014-15,81,245,PF,Texas,4,67
Dakari Johnson,2014-15,84,260,C,Kentucky,2,10
Joseph Young,2014-15,74,185,PG/SG,Oregon,4,107
Anthony Brown,2014-15,79,210,SG/SF,Stanford,4,271
Travis Trice,2014-15,73,170,PG,Michigan State,4,207
JP Tokoto,2014-15,78,195,SG/SF,UNC,3,65
Brandon Ashley,2014-15,80,230,PF,Arizona,3,18
Josh Richardson,2014-15,78,200,SG,Tennessee,4,246
Andrew Harrison,2014-15,78,215,PG/SG,Kentucky,2,5
Vince Hunter,2014-15,80,210,SF/PF,UTEP,2,151
Pat Connaughton,2014-15,77,215,SG,Notre Dame,4,97
Branden Dawson,2014-15,79,230,SF/PF,Michigan State,4,16
Aaron White,2014-15,81,220,SF/PF,Iowa,4,169
Michael Frazier,2014-15,77,200,SG,Florida,3,86
Chasson Randle,2014-15,74,180,PG/SG,Stanford,4,62
Larry Nance,2014-15,81,230,PF,Wyoming,4,400
Robert Upshaw,2014-15,84,260,C,Washington,2,56
Bryce Dejean-Jones,2014-15,78,205,SG,Iowa State,4,82
Ryan Boatright,2014-15,71,170,PG,UConn,4,55
Juwan Staten,2014-15,72,190,PG,West Virginia,4,61
Treveon Graham,2014-15,78,220,SG,VCU,4,395
Kevin Pangos,2014-15,74,185,PG,Gonzaga,4,144
Jarvis Williams,2014-15,79,215,PF,Murray State,4,400
LeBryan Nash,2014-15,80,232,SF/PF,Oklahoma State,4,8
Michael Qualls,2014-15,77,205,SF,Arkansas,3,152
Aaron Harrison,2014-15,78,210,SG,Kentucky,2,6
TaShawn Thomas,2014-15,80,240,PF,Oklahoma,4,108
Tyler Harvey,2014-15,76,180,SG,Eastern Washington,3,400
TJ McConnell,2014-15,74,190,PG,Arizona,4,348
Dez Wells,2014-15,76,210,SG,Maryland,4,54
Chris Walker,2014-15,82,210,PF,Florida,2,7
Keifer Sykes,2014-15,72,170,PG,Wisconsin Green Bay,4,400
Will Cummings,2014-15,73,180,PG,Temple,4,330
SirDominic Pointer,2014-15,78,190,SF,St. John's (NY),4,34
Quinn Cook,2014-15,73,180,PG,Duke,4,33
Alan Williams,2014-15,80,260,PF/C,UC Santa Barbara,4,400
DAngelo Harrison,2014-15,75,215,SG,St. John's (NY),4,46
Corey Hawkins,2014-15,74,190,SG,UC Davis,4,178
Darrun Hilliard,2014-15,79,220,SG,Villanova,4,274
Cady Lalanne,2014-15,81,240,C,UMass,4,180
DJ Newbill,2014-15,76,215,SG,Penn State,4,220
Ralston Turner,2014-15,78,210,SG,NC State,4,116
Marcus Thornton,2014-15,75,180,PG/SG,William & Mary,4,400
Trevor Lacey,2014-15,75,210,PG/SG,NC State,3,41
Askia Booker,2014-15,74,170,PG,Colorado,4,290
Derrick Marks,2014-15,75,210,PG/SG,Boise State,4,400
David Kravish,2014-15,82,240,PF,California,4,278
LaDontae Henton,2014-15,77,215,SF,Providence,4,151
Darion Atkins,2014-15,80,240,PF,Virginia,4,320
Ben Simmons,2015-16,82,240,SF/PF,LSU,1,1
Brandon Ingram,2015-16,81,195,SF,Duke,1,3
Jaylen Brown,2015-16,78,225,SG/SF,California,1,4
Kris Dunn,2015-16,76,220,PG,Providence,3,16
Buddy Hield,2015-16,77,215,SG,Oklahoma,4,156
Marquese Chriss,2015-16,82,235,PF,Washington,1,58
Domantas Sabonis,2015-16,82,240,PF/C,Gonzaga,2,200
Jamal Murray,2015-16,76,205,PG/SG,Kentucky,1,10
Dejounte Murray,2015-16,77,170,PG/SG,Washington,1,49
Malik Beasley,2015-16,77,190,SG,Florida State,1,39
Deyonta Davis,2015-16,82,240,PF/C,Michigan State,1,26
Skal Labissiere,2015-16,84,215,PF/C,Kentucky,1,2
Damian Jones,2015-16,83,245,C,Vanderbilt,3,87
Brice Johnson,2015-16,82,210,PF,UNC,4,45
Jakob Poeltl,2015-16,85,240,C,Utah,2,100
Henry Ellenson,2015-16,83,245,PF/C,Marquette,1,9
Malachi Richardson,2015-16,78,200,SG,Syracuse,1,34
Denzel Valentine,2015-16,77,210,SG/SF,Michigan State,4,112
Caris LeVert,2015-16,79,190,SG,Michigan,4,239
Patrick McCaw,2015-16,78,180,SG,UNLV,2,198
Cheick Diallo,2015-16,81,220,PF/C,Kansas,1,5
Taurean Prince,2015-16,80,220,SF,Baylor,4,188
Stephen Zimmerman,2015-16,83,235,PF/C,UNLV,1,11
DeAndre Bembry,2015-16,77,205,SG/SF,St. Joseph's,3,221
Wade Baldwin,2015-16,76,200,PG/SG,Vanderbilt,2,131
Malcolm Brogdon,2015-16,77,225,SG,Virginia,4,98
Gary Payton,2015-16,75,185,PG/SG,Oregon State,4,123
Pascal Siakam,2015-16,81,230,PF,New Mexico State,2,400
Diamond Stone,2015-16,82,255,C,Maryland,1,6
Demetrius Jackson,2015-16,73,195,PG,Notre Dame,3,35
Anthony Barber,2015-16,75,175,PG,NC State,3,26
Joel Bolomboy,2015-16,81,225,PF,Weber State,4,400
Michael Gbinije,2015-16,79,205,SG/SF,Syracuse,4,28
Kahlil Felder,2015-16,69,175,PG,Oakland,3,400
Isaiah Whitehead,2015-16,76,210,PG/SG,Seton Hall,2,14
Daniel Hamilton,2015-16,79,200,SG/SF,UConn,2,17
Tyler Ulis,2015-16,70,150,PG,Kentucky,2,19
Isaiah Cousins,2015-16,76,190,PG/SG,Oklahoma,4,260
Ben Bentil,2015-16,80,230,PF,Providence,2,95
Wayne Selden,2015-16,77,230,SG,Kansas,3,13
AJ Hammons,2015-16,84,260,C,Purdue,4,75
Perry Ellis,2015-16,80,220,PF,Kansas,4,32
Zach Auguste,2015-16,82,240,PF,Notre Dame,4,108
Danuel House,2015-16,79,215,SG/SF,Texas A&M,4,26
Troy Williams,2015-16,79,215,SF,Indiana,3,53
Ron Baker,2015-16,76,215,SG,Wichita State,4,
James Webb,2015-16,81,200,SF/PF,Boise State,3,
Tyrone Wallace,2015-16,77,205,PG/SG,California,4,92
Julian Jacobs,2015-16,76,180,PG/SG,USC,3,303
Derrick Jones,2015-16,79,190,SF,UNLV,1,48
Isaiah Miles,2015-16,80,220,SF/PF,St. Joseph's,4,306
Dorian Finney-Smith,2015-16,80,215,SF/PF,Florida,4,24
Chris Obekpa,2015-16,81,240,C,UNLV,4,66
Marcus Paige,2015-16,74,165,PG,UNC,4,30
Kyle Wiltjer,2015-16,82,245,PF,Gonzaga,4,20
Isaiah Taylor,2015-16,74,180,PG,Texas,3,323
Robert Carter,2015-16,80,250,PF,Maryland,3,27
Sheldon McClellan,2015-16,78,200,SG,Miami,4,45
Alex Poythress,2015-16,80,240,PF,Kentucky,4,7
Jake Layman,2015-16,81,210,SF,Maryland,4,69
Jarrod Uthoff,2015-16,82,215,PF,Iowa,4,114
Damion Lee,2015-16,78,210,SG,Louisville,4,247
Josh Adams,2015-16,74,190,PG,Wyoming,4,400
Georges Niang,2015-16,80,230,SF/PF,Iowa State,4,71
Yogi Ferrell,2015-16,72,180,PG,Indiana,4,21
Kaleb Tarczewski,2015-16,84,245,C,Arizona,4,8
Tim Quarterman,2015-16,78,190,SG,LSU,3,71
Rosco Allen,2015-16,81,220,SF,Stanford,3,79
AJ English,2015-16,75,180,PG/SG,Iona,4,400
Devin Thomas,2015-16,81,250,PF,Wake Forest,4,268
Ryan Anderson,2015-16,81,235,PF,Arizona,4,98
Chinanu Onuaku,2015-16,82,245,C,Louisville,2,68
Anthony Gill,2015-16,80,230,PF,Virginia,4,94
Shawn Long,2015-16,82,250,PF,Louisiana Lafayette,4,400
Jalen Jones,2015-16,79,225,SF,Texas A&M,4,293
Tyler Harris,2015-16,81,220,PF,Auburn,4,123
Andrew Andrews,2015-16,74,205,SG,Washington,4,318
Prince Ibeh,2015-16,83,260,C,Texas,4,58
Stefan Jankovic,2015-16,83,235,PF,Hawaii,3,204
Brannen Greene,2015-16,79,215,SG/SF,Kansas,3,36
DVauntes Smith-Rivera,2015-16,75,215,PG/SG,Georgetown,4,36
Goodluck Okonoboh,2015-16,82,225,C,UNLV,2,28
Josh Jackson,2016-17,80,205,SG/SF,Kansas,1,1
Markelle Fultz,2016-17,76,190,PG,Washington,1,5
Lonzo Ball,2016-17,78,190,PG,UCLA,1,3
DeAaron Fox,2016-17,75,170,PG,Kentucky,1,6
Jonathan Isaac,2016-17,82,210,SF/PF,Florida State,1,8
Dennis Smith Jr,2016-17,74,195,PG,NC State,1,7
Jayson Tatum,2016-17,80,205,SF,Duke,1,4
Malik Monk,2016-17,75,200,SG,Kentucky,1,11
Zach Collins,2016-17,83,230,C,Gonzaga,1,30
Lauri Markkanen,2016-17,84,230,PF,Arizona,1,36
Luke Kennard,2016-17,78,195,SG,Duke,2,21
Donovan Mitchell,2016-17,74,210,SG,Louisville,2,29
Bam Adebayo,2016-17,82,245,PF/C,Kentucky,1,9
TJ Leaf,2016-17,82,225,PF,UCLA,1,18
Kyle Kuzma,2016-17,81,225,PF,Utah,3,187
Jarrett Allen,2016-17,82,235,C,Texas,1,17
Ivan Rabb,2016-17,82,220,PF/C,California,2,7
John Collins,2016-17,81,225,PF/C,Wake Forest,2,185
Justin Jackson,2016-17,80,200,SF,UNC,3,157
Harry Giles,2016-17,82,230,PF/C,Duke,1,2
Justin Patton,2016-17,83,230,C,Creighton,1,85
Cameron Oliver,2016-17,80,240,PF,Nevada,2,169
Wesley Iwundu,2016-17,79,195,SG/SF,Kansas State,4,195
Jawun Evans,2016-17,72,185,PG,Oklahoma State,2,27
Jordan Bell,2016-17,80,225,PF/C,Oregon,3,100
DJ Wilson,2016-17,82,235,PF,Michigan,3,123
Caleb Swanigan,2016-17,81,250,PF/C,Purdue,2,19
Derrick White,2016-17,76,190,PG/SG,Colorado,4,400
Frank Jackson,2016-17,75,200,PG/SG,Duke,1,13
Tyler Lydon,2016-17,81,215,PF,Syracuse,2,72
Josh Hart,2016-17,77,210,SG,Villanova,4,79
OG Anunoby,2016-17,79,235,SF/PF,Indiana,2,294
Tony Bradley,2016-17,82,250,C,UNC,1,25
PJ Dozier,2016-17,78,200,PG/SG,South Carolina,2,25
Sindarius Thornwell,2016-17,77,210,SG,South Carolina,4,31
Frank Mason,2016-17,72,190,PG,Kansas,4,118
Semi Ojeleye,2016-17,78,240,SF/PF,SMU,3,27
Tyler Dorsey,2016-17,76,185,SG,Oregon,2,28
Ike Anigbogu,2016-17,82,250,C,UCLA,1,46
Alec Peters,2016-17,80,235,PF,Valparaiso,4,251
Jaron Blossomgame,2016-17,79,220,SF,Clemson,4,117
Johnathan Motley,2016-17,81,240,PF,Baylor,3,127
Dwayne Bacon,2016-17,78,220,SG/SF,Florida State,2,17
Damyean Dotson,2016-17,78,205,SG/SF,Houston,4,262
Sterling Brown,2016-17,77,225,SG/SF,SMU,4,109
Kadeem Allen,2016-17,74,190,SG,Arizona,4,83
Edmond Sumner,2016-17,77,175,PG/SG,Xavier,2,106
DeAnthony Melton,2016-17,75,195,PG/SG,USC,2,134
Dillon Brooks,2016-17,78,220,SF,Oregon,3,59
LJ Peak,2016-17,76,215,SG,Georgetown,3,65
VJ Beachem,2016-17,79,195,SF,Notre Dame,4,74
Monte Morris,2016-17,74,175,PG,Iowa State,4,83
Charles Cooke,2016-17,77,190,SG,Dayton,4,400
Kobi Simmons,2016-17,76,170,PG/SG,Arizona,1,26
Antonio Blakeney,2016-17,76,195,SG,LSU,2,16
Devin Robinson,2016-17,80,190,SF/PF,Florida,3,18
Nigel Williams-Goss,2016-17,75,190,PG,Gonzaga,3,34
Isaiah Hicks,2016-17,80,235,PF,UNC,4,16
Thomas Bryant,2016-17,83,250,C,Indiana,2,20
Melo Trimble,2016-17,74,195,PG,Maryland,3,32
Chance Comanche,2016-17,83,215,PF/C,Arizona,2,50
Davon Reed,2016-17,78,205,SG/SF,Miami,4,113
Chris Boucher,2016-17,81,185,PF/C,Oregon,4,100
Jaylen Johnson,2016-17,81,230,PF,Louisville,3,87
Moses Kingsley,2016-17,82,230,C,Arkansas,4,50
Isaac Humphries,2016-17,84,260,C,Kentucky,2,47
Bronson Koenig,2016-17,75,190,PG,Wisconsin,4,110
Jacob Wiley,2016-17,79,215,PF,Eastern Washington,4,400
Andrew White,2016-17,79,220,SF,Syracuse,4,54
Peter Jok,2016-17,77,205,SG,Iowa,4,304
Eric Mika,2016-17,82,230,PF/C,BYU,2,40
Luke Kornet,2016-17,85,250,C,Vanderbilt,4,364
Isaiah Briscoe,2016-17,74,220,PG/SG,Kentucky,2,12
Justin Tuoyo,2016-17,81,230,PF/C,Chattanooga,4,184
Jalen Moore,2016-17,80,215,SF,Utah State,4,400
Kennedy Meeks,2016-17,82,275,C,UNC,4,58
Derrick Walton,2016-17,72,190,PG,Michigan,4,46
James Blackmon,2016-17,75,200,SG,Indiana,3,20
Zak Irvin,2016-17,78,210,SG,Michigan,4,29
Jabari Bird,2016-17,78,200,SG,California,4,21
Jamel Artis,2016-17,79,215,SF,Pitt,4,209
Nigel Hayes,2016-17,79,255,PF,Wisconsin,4,137
Landen Lucas,2016-17,82,240,C,Kansas,4,251
Xavier Rathan-Mayes,2016-17,75,210,PG/SG,Florida State,3,47
Austin Nichols,2016-17,81,235,PF,Virginia,3,22
Tyler Roberson,2016-17,80,225,PF,Syracuse,4,42
Amida Brimah,2016-17,83,230,C,UConn,4,241
Deandre Ayton,2017-18,84,260,C,Arizona,1,4
Marvin Bagley,2017-18,83,235,PF,Duke,1,1
Jaren Jackson,2017-18,83,235,PF/C,Michigan State,1,8
Trae Young,2017-18,74,180,PG,Oklahoma,1,23
Wendell Carter,2017-18,82,250,C,Duke,1,7
Michael Porter,2017-18,83,210,SF,Missouri,1,308
Mikal Bridges,2017-18,79,210,SG/SF,Villanova,3,81
Mohamed Bamba,2017-18,84,225,C,Texas,1,3
Shai Gilgeous-Alexander,2017-18,78,180,PG,Kentucky,1,31
Jerome Robinson,2017-18,77,190,SG,Boston College,3,308
Donte DiVincenzo,2017-18,77,200,SG,Villanova,2,124
Zhaire Smith,2017-18,76,200,SG,Texas Tech,1,194
Collin Sexton,2017-18,74,185,PG,Alabama,1,5
Kevin Knox,2017-18,81,215,SF/PF,Kentucky,1,11
Lonnie Walker,2017-18,77,195,SG,Miami,1,16
Kevin Huerter,2017-18,79,195,SG,Maryland,2,65
Miles Bridges,2017-18,78,220,SF/PF,Michigan State,2,12
Robert Williams,2017-18,81,240,PF/C,Texas A&M,2,61
Jontay Porter,2017-18,83,210,PF/C,Missouri,2,25
Troy Brown,2017-18,79,210,SG,Oregon,1,13
Khyri Thomas,2017-18,76,200,SG,Creighton,3,326
Gary Trent Jr,2017-18,77,205,SG,Duke,1,17
Grayson Allen,2017-18,76,200,SG,Duke,4,26
Chandler Hutchison,2017-18,79,195,SG/SF,Boise State,4,112
Aaron Holiday,2017-18,73,185,PG,UCLA,3,54
Moritz Wagner,2017-18,83,240,PF/C,Michigan,3,119
Josh Okogie,2017-18,76,210,SG/SF,Georgia Tech,2,182
Jacob Evans,2017-18,77,200,SG/SF,Cincinnati,3,130
Landry Shamet,2017-18,77,190,PG/SG,Wichita State,2,148
Jalen Brunson,2017-18,74,200,PG,Villanova,3,22
DeAnthony Melton,2017-18,75,195,PG/SG,USC,2,134
Omari Spellman,2017-18,81,255,PF/C,Villanova,1,20
Keita Bates-Diop,2017-18,80,225,SF/PF,Ohio State,3,29
Melvin Frazier,2017-18,78,200,SG/SF,Tulane,3,182
Rawle Alkins,2017-18,76,220,SG,Arizona,2,21
Jarred Vanderbilt,2017-18,81,215,SF,Kentucky,1,12
Trevon Duval,2017-18,75,190,PG,Duke,1,6
Brandon McCoy,2017-18,85,250,C,UNLV,1,14
Alize Johnson,2017-18,80,215,PF,Missouri State,4,400
Chimezie Metu,2017-18,82,220,PF/C,USC,3,38
Raymond Spalding,2017-18,82,215,PF,Louisville,3,
Sviatoslav Mykhailiuk,2017-18,80,210,SG,Kansas,4,239
Keenan Evans,2017-18,75,185,PG/SG,Texas Tech,4,292
Bruce Brown,2017-18,77,195,SG,Miami,2,28
Shake Milton,2017-18,78,205,PG/SG,SMU,3,90
Hamidou Diallo,2017-18,77,195,SG,Kentucky,1,10
Kevin Hervey,2017-18,80,215,SF/PF,Texas Arlington,4,400
Jevon Carter,2017-18,73,195,PG,West Virginia,4,299
Tony Carr,2017-18,76,200,PG,Penn State,2,51
Justin Jackson,2017-18,79,230,SF/PF,Maryland,2,9
Kenrich Williams,2017-18,79,200,SF,TCU,4,389
Kelan Martin,2017-18,78,230,SF/PF,Butler,4,140
Malik Newman,2017-18,76,190,SG,Kansas,2,8
Devonte Graham,2017-18,73,185,PG,Kansas,4,40
Yante Maten,2017-18,80,245,PF,Georgia,4,225
Jaylen Barford,2017-18,74,205,SG,Arkansas,4,400
Rob Gray,2017-18,73,185,PG/SG,Houston,4,400
Allonzo Trier,2017-18,77,200,SG,Arizona,3,13
DJ Hogg,2017-18,80,220,SF/PF,Texas A&M,3,30
Dikembe Dixson,2017-18,79,200,SF,Illinois-Chicago,4,231
JP Macura,2017-18,77,205,SG,Xavier,4,102
Tyler Davis,2017-18,82,270,C,Texas A&M,3,31
Isaac Haas,2017-18,86,300,C,Purdue,4,82
Jaylen Adams,2017-18,74,190,PG/SG,St. Bonaventure,4,400
Gary Clark,2017-18,79,220,PF,Cincinnati,4,105
Vince Edwards,2017-18,80,225,SF,Purdue,4,
Devon Hall,2017-18,77,205,PG/SG,Virginia,4,122
George King,2017-18,78,220,SF,Colorado,4,400
Bonzie Colson,2017-18,77,225,SF/PF,Notre Dame,4,139
Johnathan Williams,2017-18,80,225,PF,Gonzaga,4,45
Deng Adel,2017-18,79,200,SF,Louisville,3,35
Kendall Stephens,2017-18,79,205,SG/SF,Nevada,4,62
Joel Berry,2017-18,72,195,PG,UNC,4,30
Theo Pinson,2017-18,78,210,SG,UNC,4,15
Donte Grantham,2017-18,80,215,SF/PF,Clemson,4,92
Tra Holder,2017-18,73,180,PG,Arizona State,4,109
Kostas Antetokounmpo,2017-18,82,195,SF/PF,Dayton,1,102
Thomas Wilder,2017-18,75,190,PG,Western Michigan,4,400
Jo Lual-Acuil,2017-18,84,225,C,Baylor,4,400
Malik Pope,2017-18,81,220,PF,San Diego State,4,51
Ajdin Penava,2017-18,81,220,PF,Marshall,3,400
Wenyen Gabriel,2017-18,81,205,SF/PF,Kentucky,2,15
Jared Terrell,2017-18,75,215,SG,Rhode Island,4,64
Marcus Foster,2017-18,74,215,PG/SG,Creighton,4,178
Muhammad-Ali Abdur-Rahkman,2017-18,76,190,SG,Michigan,4,400
Trevon Bluiett,2017-18,77,215,SG,Xavier,4,39
Kyle Washington,2017-18,81,240,PF,Cincinnati,4,82
Chris Chiozza,2017-18,72,175,PG,Florida,4,44
Anas Mahmoud,2017-18,84,215,C,Louisville,4,163
Jock Landale,2017-18,83,255,C,Saint Mary's,4,343
Kendrick Nunn,2017-18,75,190,SG,Oakland,4,56
Zion Williamson,2018-19,78,280,PF,Duke,1,5
Ja Morant,2018-19,75,175,PG,Murray State,2,328
RJ Barrett,2018-19,79,210,SG,Duke,1,1
Coby White,2018-19,77,190,PG/SG,UNC,1,25
Rui Hachimura,2018-19,80,235,PF,Gonzaga,3,148
DeAndre Hunter,2018-19,79,225,SF/PF,Virginia,2,91
Darius Garland,2018-19,74,175,PG,Vanderbilt,1,14
Nassir Little,2018-19,78,225,SF,UNC,1,3
Keldon Johnson,2018-19,78,215,SG/SF,Kentucky,1,13
Bruno Fernando,2018-19,82,240,C,Maryland,2,87
Jaxson Hayes,2018-19,83,220,PF/C,Texas,1,102
Jarrett Culver,2018-19,78,195,SG,Texas Tech,2,312
Mfiondu Kabengele,2018-19,82,255,PF/C,Florida State,2,270
Matisse Thybulle,2018-19,78,200,SG/SF,Washington,4,104
Cam Reddish,2018-19,80,210,SG/SF,Duke,1,2
Romeo Langford,2018-19,78,210,SG,Indiana,1,7
Nickeil Alexander-Walker,2018-19,77,205,SG,Virginia Tech,2,40
PJ Washington,2018-19,80,230,PF,Kentucky,2,15
Nicolas Claxton,2018-19,83,215,PF,Georgia,2,231
Bol Bol,2018-19,86,210,C,Oregon,1,4
Brandon Clarke,2018-19,80,210,PF/C,Gonzaga,3,400
KZ Okpala,2018-19,80,210,SG/SF,Stanford,2,42
Chuma Okeke,2018-19,80,235,SF/PF,Auburn,2,47
Tyler Herro,2018-19,78,195,SG,Kentucky,1,37
Eric Paschall,2018-19,79,255,PF,Villanova,4,210
Dylan Windler,2018-19,79,195,SG/SF,Belmont,4,377
Cameron Johnson,2018-19,80,205,SF,UNC,4,224
Naz Reid,2018-19,82,255,C,LSU,1,18
Ty Jerome,2018-19,77,195,PG,Virginia,3,44
Louis King,2018-19,80,195,SF,Oregon,1,20
Daniel Gafford,2018-19,82,240,PF/C,Arkansas,2,39
Kevin Porter Jr,2018-19,77,215,SG/SF,USC,1,28
Carsen Edwards,2018-19,72,200,PG,Purdue,3,118
Jalen McDaniels,2018-19,81,190,SF/PF,San Diego State,2,120
Ky Bowman,2018-19,74,180,PG,Boston College,3,324
Terance Mann,2018-19,78,205,SG,Florida State,4,100
Jordan Bone,2018-19,75,180,PG,Tennessee,3,171
Justin Wright-Foreman,2018-19,74,190,PG/SG,Hofstra,4,400
Grant Williams,2018-19,79,240,PF,Tennessee,3,191
Jaylen Nowell,2018-19,76,200,PG/SG,Washington,2,67
Zylan Cheatham,2018-19,80,220,SF/PF,Arizona State,4,72
Terence Davis,2018-19,76,190,PG/SG,Ole Miss,4,171
Oshae Brissett,2018-19,80,205,SF,Syracuse,2,137
Jontay Porter,2018-19,83,210,PF/C,Missouri,2,25
Jaylen Hoard,2018-19,80,215,SF/PF,Wake Forest,1,24
Kenny Wooten,2018-19,81,230,PF/C,Oregon,2,129
Isaiah Roby,2018-19,80,215,SF/PF,Nebraska,3,133
Marial Shayok,2018-19,78,195,SG/SF,Iowa State,4,166
Zach Norvell,2018-19,78,205,SG,Gonzaga,2,103
Jaylen Hands,2018-19,75,180,PG,UCLA,2,22
Tacko Fall,2018-19,90,290,C,Central Florida,4,142
Kyle Guy,2018-19,74,170,PG/SG,Virginia,3,37
Simisola Shittu,2018-19,82,230,PF,Vanderbilt,1,11
Tyler Cook,2018-19,80,245,PF,Iowa,3,72
Talen Horton-Tucker,2018-19,76,235,SG/SF,Iowa State,1,57
Luguentz Dort,2018-19,76,220,SG,Arizona State,1,30
