Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS,Tensorflow,LogReg,GBM,MODEL TOTAL
Terrence Shannon,2020-21,78,210,SG,Texas Tech,2,90.0,28,13,747,21.1,0.555,0.504,0.313,0.444,332.0,4.9,12.8,8.8,11.2,2.6,0.7,10.5,24.8,2.2,1.5,3.6,0.195,4.7,2.7,7.4,114.8,95.3,1.03,?,?,?,?,?,?,?,0.5501423000000001,1,0,17.54977230277304
Jeremiah Robinson-Earl,2020-21,81,230,PF,Villanova,2,16.0,25,25,862,23.3,0.5579999999999999,0.534,0.263,0.26899999999999996,388.0,8.6,21.3,14.8,13.5,1.7,2.3,10.4,24.4,2.7,1.3,4.0,0.187,5.5,2.0,7.5,115.8,99.2,1.34,?,?,?,?,?,?,?,0.8190116999999999,1,1,17.48885689519784
Franz Wagner,2020-21,81,220,SF,Michigan,2,114.0,26,26,818,22.8,0.604,0.5660000000000001,0.39,0.295,324.0,2.9,19.1,11.8,17.3,2.4,3.2,11.0,19.8,2.6,1.8,4.4,0.215,6.3,5.9,12.2,123.7,93.3,2.26,?,?,?,?,?,?,?,0.11679575,1,0,17.11676239168446
Caleb Love,2020-21,76,195,PG,UNC,1,14.0,29,26,802,8.8,0.41700000000000004,0.368,0.389,0.237,315.0,1.4,8.7,5.0,23.1,2.4,1.4,19.7,25.9,-0.1,1.1,1.0,0.048,-1.8,1.5,-0.2,88.0,100.9,1.16,?,?,?,?,?,?,?,0.99999297,1,1,16.94997229964224
Moses Moody,2020-21,78,205,SG,Arkansas,1,45.0,31,31,1049,20.8,0.573,0.511,0.42,0.473,499.0,6.2,11.8,9.0,8.3,1.7,2.0,9.6,22.2,3.4,1.8,5.2,0.19899999999999998,5.4,2.4,7.8,120.6,97.3,1.02,?,?,?,?,?,?,?,0.039684623,1,1,16.94414571621012
Miles McBride,2020-21,74,200,PG,West Virginia,2,301.0,29,28,991,22.7,0.5429999999999999,0.493,0.306,0.33899999999999997,473.0,3.7,9.2,6.3,28.6,3.1,1.0,11.2,22.8,3.4,1.2,4.7,0.18899999999999997,6.5,3.0,9.4,120.3,102.3,2.66,?,?,?,?,?,?,?,0.936647,1,0,16.93664699792862
Sharife Cooper,2020-21,73,180,PG,Auburn,1,24.0,12,12,397,22.9,0.519,0.4270000000000001,0.31,0.56,270.0,2.2,11.3,6.9,51.9,1.6,0.7,17.7,33.1,1.4,0.3,1.7,0.174,4.7,-0.4,4.3,110.6,106.6,1.94,?,?,?,?,?,?,?,0.9999956,1,0,15.771193218633613
Cameron Thomas,2020-21,76,210,SG,LSU,1,25.0,29,29,986,24.0,0.5529999999999999,0.474,0.418,0.44,600.0,2.0,8.2,5.2,8.3,1.4,0.7,7.5,31.6,4.0,0.5,4.5,0.183,7.1,-0.8,6.3,117.9,109.4,0.86,?,?,?,?,?,?,?,0.50657976,1,1,15.65571051341226
Josh Christopher,2020-21,77,215,SG,Arizona State,1,88.21034870641171,15,15,446,17.8,0.529,0.483,0.335,0.313,195.0,2.4,16.1,9.0,9.8,2.7,1.9,11.4,25.5,0.6,0.5,1.1,0.099,2.4,1.7,4.1,101.2,104.1,0.81,?,?,?,?,?,?,?,0.5190236,1,0,15.518493025116625
Tre Mann,2020-21,77,190,PG,Florida,2,21.0,24,24,777,21.1,0.579,0.536,0.386,0.307,382.0,2.6,16.9,10.2,21.9,2.4,0.4,17.0,25.8,2.2,1.2,3.3,0.172,5.0,2.0,7.0,111.7,99.6,1.22,?,?,?,?,?,?,?,0.9803164,1,0,15.276918981871116
Greg Brown,2020-21,81,205,SF/PF,Texas,1,9.0,26,24,535,15.9,0.535,0.4970000000000001,0.47200000000000003,0.373,220.0,6.7,26.0,16.8,3.8,1.6,5.0,20.9,26.9,0.3,1.2,1.5,0.113,-0.2,2.7,2.4,93.6,91.6,0.17,?,?,?,?,?,?,?,0.62475896,1,1,15.265728803700766
NahShon Hyland,2020-21,75,175,PG,VCU,2,81.0,24,24,766,23.7,0.596,0.5489999999999999,0.547,0.321,408.0,0.7,16.3,8.9,16.0,3.5,0.6,15.9,31.8,2.0,1.8,3.8,0.201,5.5,2.7,8.2,107.8,91.2,0.68,?,?,?,?,?,?,?,0.260705,1,0,15.25939443707613
Micah Peavy,2020-21,79,215,SG,Texas Tech,1,44.0,29,25,589,12.3,0.46299999999999997,0.45899999999999996,0.019,0.239,187.0,11.2,7.0,9.1,13.5,1.7,1.3,15.7,18.3,0.6,0.9,1.6,0.105,-0.3,1.6,1.3,100.6,98.9,1.21,?,?,?,?,?,?,?,0.013864011,1,1,15.146860250973148
Jalen Johnson,2020-21,81,220,SF,Duke,1,147.0,13,8,278,25.8,0.575,0.56,0.165,0.349,143.0,8.3,25.2,16.6,20.5,3.1,6.0,20.6,28.6,0.6,0.5,1.1,0.162,4.4,4.2,8.6,104.4,95.4,0.88,?,?,?,?,?,?,?,0.038869947,1,0,15.038867748099053
