Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
LeBron James,12,167.4,14.0,+6.07,+5.24,+0.83
Chris Paul,12,135.1,11.3,+5.50,+4.38,+1.13
Kevin Durant,11,128.2,11.7,+4.99,+4.61,+0.37
Nikola Jokic,6,63.6,10.6,+4.85,+3.67,+1.18
Joel Embiid,5,36.4,7.3,+4.65,+2.54,+2.11
Kawhi Leonard,10,81.7,8.2,+4.62,+2.79,+1.84
James Harden,12,134.7,11.2,+4.50,+4.98,-0.48
Stephen Curry,12,114.9,9.6,+4.42,+4.46,-0.04
Rudy Gobert,8,71.2,8.9,+4.38,+0.33,+4.05
Anthony Davis,9,83.8,9.3,+4.26,+2.30,+1.96
Tim Duncan,7,60.8,8.7,+4.15,+0.75,+3.40
Giannis Antetokounmpo,8,78.9,9.9,+4.06,+2.15,+1.91
Russell Westbrook,12,118.8,9.9,+3.68,+3.60,+0.08
Dwight Howard,12,85.1,7.1,+3.10,+0.33,+2.77
Luka Doncic,3,25.2,8.4,+3.44,+4.17,-0.73
Paul George,11,87.0,7.9,+3.23,+1.94,+1.29
Kyle Lowry,12,97.1,8.1,+3.20,+2.63,+0.57
Damian Lillard,9,90.0,10.0,+3.17,+4.35,-1.18
Draymond Green,9,66.6,7.4,+3.24,+0.22,+3.01
Kevin Garnett,7,38.4,5.5,+3.05,-0.09,+3.14
Karl-Anthony Towns,6,51.1,8.5,+3.19,+2.88,+0.31
Jimmy Butler,10,75.7,7.6,+3.15,+2.33,+0.82
Hassan Whiteside,9,40.7,4.5,+3.02,+0.32,+2.70
Manu Ginobili,9,47.1,5.2,+2.91,+2.39,+0.52
Zion Williamson,2,9.8,4.9,+3.15,+3.48,-0.33
Mike Conley,12,82.3,6.9,+2.71,+2.26,+0.45
Jayson Tatum,4,32.0,8.0,+2.79,+1.45,+1.33
Kevin Love,12,70.2,5.8,+2.62,+2.56,+0.06
Paul Millsap,12,79.4,6.6,+2.52,+0.99,+1.53
Dirk Nowitzki,10,64.9,6.5,+2.40,+1.74,+0.66
LaMarcus Aldridge,12,87.6,7.3,+2.36,+1.53,+0.83
Blake Griffin,11,71.3,6.5,+2.37,+2.16,+0.21
Marc Gasol,12,81.9,6.8,+2.38,+0.17,+2.21
Jason Kidd,4,29.2,7.3,+2.58,+1.05,+1.52
Chris Bosh,7,49.0,7.0,+2.38,+1.33,+1.05
Dwyane Wade,10,61.7,6.2,+2.19,+2.36,-0.17
Steve Nash,5,27.8,5.6,+2.29,+3.29,-1.00
Kyrie Irving,10,59.3,5.9,+2.20,+3.18,-0.99
Pau Gasol,10,59.3,5.9,+2.10,+0.92,+1.18
Kristaps Porzingis,5,26.2,5.2,+2.09,+0.74,+1.35
Kobe Bryant,7,39.7,5.7,+1.91,+3.17,-1.27
Clint Capela,7,32.1,4.6,+2.23,+0.38,+1.86
